Distance (µm),Al Ox%,Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,14.49893,7.154745,53.94171,10.8275,2.086248,0.102144,0.127965,11.26076,
1.99999999999999,14.53993,7.182349,53.86041,10.70213,2.1673,0.10789,0.069467,11.37052,
4,14.65273,7.187983,53.74239,10.67113,2.183738,0.02479,0.212899,11.32435,
5.99999999999999,13.13422,9.917509,53.13166,9.923065,2.121257,0.09592,0.153975,11.52238,
8,2.066675,28.75674,55.11693,2.522489,0.310905,0.310566,0.208811,10.70689,
9.99999999999999,1.577127,29.5058,55.13364,2.278241,0.268917,0.299951,0.27678,10.65955,
12,1.47142,29.69116,55.22915,2.217014,0.19799,0.376869,0.227864,10.58852,
14,1.245657,29.7872,55.3811,2.15298,0.229817,0.285639,0.294459,10.62314,
16,1.321177,29.73345,55.3338,2.239276,0.184432,0.295383,0.296114,10.59638,
18,1.344615,29.66164,55.36583,2.186431,0.165592,0.403314,0.279297,10.59328,
20,1.25334,29.69153,55.63256,2.161906,0.147801,0.269297,0.238581,10.60499,
22,1.326409,29.77104,55.06686,2.238874,0.218891,0.38789,0.333218,10.65681,
24,1.39378,29.57403,55.23362,2.226057,0.213519,0.345177,0.237364,10.77645,
26,1.394535,29.54856,55.29104,2.165017,0.276617,0.325414,0.247395,10.75142,
28,1.315777,29.74281,55.26451,2.157489,0.185616,0.310234,0.257527,10.76604,
30,1.319967,29.78114,55.04456,2.17738,0.314559,0.284945,0.233005,10.84444,
32,1.393496,29.65117,55.21699,2.160422,0.220465,0.293866,0.239815,10.82378,
34,1.431929,29.75227,55.35361,2.128061,0.204964,0.331513,0.217023,10.58063,
36,1.308087,29.78311,55.14015,2.177102,0.246205,0.356169,0.278319,10.71085,
38,1.281211,29.82788,55.31485,2.125998,0.169354,0.320646,0.260467,10.6996,
40,1.400724,29.73765,55.11684,2.151103,0.226163,0.359851,0.280775,10.72689,
42,1.48587,29.71161,55.20541,2.165638,0.205158,0.367821,0.286272,10.57222,
44,1.540787,29.67725,55.05005,2.176632,0.254822,0.337476,0.210231,10.75275,
46,1.508289,29.61011,55.24298,2.171026,0.287307,0.380858,0.20712,10.5923,
48,1.544586,29.61421,55.02937,2.13936,0.18772,0.389562,0.286558,10.80863,
50,1.482723,29.62005,55.18363,2.132713,0.24875,0.306402,0.268145,10.75759,
52,1.517822,29.64495,54.90947,2.105306,0.260868,0.444268,0.243638,10.87367,
54,1.517826,29.70682,55.11189,2.133708,0.223387,0.391588,0.226881,10.6879,
56,1.43,29.57498,55.18086,2.211852,0.229119,0.406247,0.207726,10.75921,
58,1.504472,29.64573,55.12237,2.181747,0.239305,0.400733,0.250223,10.65542,
60,1.508276,29.65233,55.08241,2.159853,0.303336,0.390805,0.24777,10.65522,
62,1.629542,29.46814,55.02022,2.178061,0.223478,0.389503,0.207133,10.88393,
64,1.645237,29.56831,54.80642,2.168015,0.311576,0.453834,0.217512,10.82909,
66,1.484158,29.76269,55.0867,2.120301,0.224274,0.369877,0.169058,10.78296,
68,1.538798,29.75895,54.98341,2.11586,0.219433,0.437549,0.189245,10.75675,
70,1.503788,29.60582,55.21376,2.150554,0.19728,0.329071,0.211477,10.78825,
72,1.470298,29.72601,55.07742,2.163276,0.263466,0.347599,0.283846,10.66809,
74,1.531028,29.72698,55.01088,2.122765,0.218651,0.361555,0.206836,10.82132,
76,1.596897,29.56695,54.83475,2.187729,0.29403,0.413782,0.234909,10.87096,
78,1.555222,29.57314,55.02592,2.097996,0.2732,0.381303,0.2296,10.86362,
80,1.602496,29.54018,54.9659,2.17125,0.253601,0.428029,0.250239,10.78831,
82,1.638289,29.58147,54.91335,2.175877,0.223994,0.425838,0.187971,10.8532,
84,1.530441,29.54419,55.19151,2.158871,0.234311,0.34256,0.205454,10.79267,
86,1.610595,29.55239,55.24465,2.126357,0.25403,0.376273,0.24181,10.59389,
88,1.469831,29.5833,55.12074,2.166255,0.268702,0.39407,0.22218,10.77493,
90,1.620127,29.69382,54.95606,2.148523,0.182373,0.357782,0.267097,10.77422,
92,1.578501,29.46517,55.11802,2.142828,0.251682,0.468112,0.154729,10.82096,
94,1.467837,29.7491,55.08664,2.058357,0.261836,0.459022,0.217608,10.69959,
96,1.502389,29.60804,54.90521,2.125249,0.238515,0.45179,0.307658,10.86115,
98,1.63037,29.60534,54.93562,2.273303,0.159253,0.453481,0.138952,10.80369,
100,1.977233,29.26134,54.58976,2.353448,0.274708,0.497899,0.248522,10.7971,
102,2.085642,29.02236,54.60096,2.359427,0.253288,0.625675,0.198609,10.85404,
104,2.040961,29.11606,54.59094,2.394948,0.331316,0.550993,0.205564,10.76921,
106,2.135206,29.1012,54.43985,2.350181,0.287496,0.513514,0.27062,10.90192,
