Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Fe Ox%,Cr Ox%,Mn Ox%,Al Ox%,
0,27.79458,53.85645,2.523265,0.372174,12.46646,0.335973,0.284079,2.367026,
2.00000000000002,27.87307,53.87427,2.308793,0.386854,12.62704,0.267157,0.31823,2.344579,
3.99999999999998,27.72235,53.86828,2.380591,0.376397,12.59556,0.358802,0.20952,2.488508,
6,27.78111,53.7351,2.355887,0.495231,12.53589,0.361244,0.260428,2.47511,
8.00000000000002,27.69836,53.75541,2.36547,0.409875,12.65688,0.393046,0.291358,2.429607,
9.99999999999998,27.86209,53.90518,2.36428,0.374525,12.54922,0.396162,0.235663,2.312885,
12,27.97408,54.01543,2.355563,0.367444,12.32926,0.329323,0.259205,2.369686,
14,28.07249,53.89333,2.239161,0.374101,12.4398,0.336343,0.242233,2.402555,
16,28.14672,53.98281,2.294976,0.436231,12.24145,0.302822,0.243721,2.351274,
18,28.32365,54.20404,2.418317,0.348962,11.82677,0.417285,0.267031,2.193942,
20,26.50113,53.97989,3.576174,0.571106,11.49557,0.33533,0.212287,3.328501,
22,28.36472,54.13545,2.500675,0.389327,11.58257,0.562358,0.22831,2.23658,
24,28.44047,54.38773,2.437731,0.322973,11.55798,0.539573,0.219125,2.094433,
26,28.26852,54.05601,2.638452,0.399813,11.58711,0.559118,0.238668,2.252316,
28,28.196,53.92107,2.807245,0.399696,11.71125,0.524101,0.267126,2.173517,
30,28.38224,54.10079,2.598897,0.331799,11.66951,0.464233,0.315061,2.13747,
32,28.17633,54.23952,2.62783,0.351377,11.71719,0.515203,0.211328,2.161233,
34,28.18314,54.37375,2.528648,0.363739,11.57376,0.506231,0.255453,2.215283,
36,28.34523,54.02583,2.562589,0.42421,11.68302,0.550035,0.235864,2.173211,
38,28.31997,54.42201,2.461573,0.28221,11.69654,0.481478,0.290097,2.046118,
40,28.34617,54.30366,2.397635,0.368219,11.66141,0.539862,0.308584,2.074483,
42,28.18999,53.90413,2.777523,0.362332,11.72575,0.586523,0.188708,2.265026,
44,28.17376,53.94143,2.694852,0.399592,11.6817,0.593366,0.295662,2.219633,
46,28.33322,54.06688,2.681051,0.356808,11.54182,0.52312,0.295365,2.201727,
48,28.369,54.27018,2.695156,0.291524,11.61046,0.47957,0.265399,2.018705,
50,28.5713,54.17197,2.706848,0.362971,11.49807,0.467761,0.230569,1.990501,
52,28.52704,54.232,2.627426,0.391747,11.54378,0.478897,0.197152,2.001961,
54,28.55028,54.31425,2.603987,0.336838,11.34752,0.557726,0.212008,2.077395,
56,28.83238,54.58606,2.285721,0.269193,11.32703,0.45989,0.266492,1.973243,
58,28.8661,54.41861,2.434726,0.282231,11.16746,0.504819,0.225957,2.100094,
60,28.93001,54.36473,2.363399,0.288118,11.14898,0.546391,0.208439,2.149912,
62,28.92445,54.69164,2.336154,0.291964,10.96722,0.509573,0.163974,2.11503,
64,29.14424,54.49944,2.264167,0.322065,11.01412,0.492064,0.240179,2.023723,
66,29.12618,54.61105,2.285952,0.313885,10.92648,0.490148,0.223776,2.022531,
68,29.16418,54.27722,2.404344,0.314689,10.87019,0.580551,0.247644,2.141194,
70,29.10385,54.36589,2.40073,0.363344,10.91523,0.569936,0.255802,2.025224,
72,29.15445,54.33007,2.417203,0.317511,11.00557,0.513776,0.241303,2.020114,
74,29.41761,54.5971,2.146663,0.308767,10.72577,0.526371,0.264383,2.013332,
76,29.17797,54.56384,2.196083,0.313109,10.98783,0.564768,0.22486,1.971523,
78,29.48132,54.55152,2.141998,0.344685,10.76219,0.501861,0.269796,1.94665,
80,29.41772,54.61282,2.203509,0.227,10.92118,0.448308,0.168409,2.001072,
82,29.331,54.84806,2.141319,0.228303,10.78181,0.510574,0.183863,1.975058,
84,29.20851,54.59391,2.148103,0.336587,10.94306,0.590728,0.163249,2.01583,
86,29.21222,54.74368,2.304264,0.282297,10.73455,0.492561,0.194864,2.035549,
88,29.23622,54.73567,2.213718,0.261008,10.76247,0.525816,0.20423,2.060865,
90,29.32815,54.61179,2.227985,0.322239,10.8372,0.495028,0.211202,1.966401,
92,29.07578,54.72092,2.175716,0.307651,10.83005,0.518232,0.291968,2.079677,
94,29.28116,54.60129,2.145706,0.35267,10.85726,0.496901,0.264127,2.000885,
96,29.18318,54.74941,2.140273,0.282265,10.86505,0.47356,0.255268,2.051001,
98,29.20416,54.63509,2.182052,0.323142,10.85763,0.520772,0.244705,2.032436,
100,29.30422,54.59217,2.116435,0.246123,11.03125,0.491158,0.199048,2.019584,
102,29.24586,54.70236,2.248195,0.26699,10.69716,0.521719,0.240025,2.077694,
104,29.14554,54.7561,2.14447,0.343156,10.94322,0.448684,0.243974,1.974849,
106,29.10541,54.45823,2.31222,0.342104,10.97519,0.472211,0.218182,2.116442,
108,16.19904,51.71835,10.11046,1.659741,10.60217,0.223095,0.18247,9.304662,
110,6.674039,54.0862,10.37123,2.174939,11.77959,0.0817,0.27501,14.55729,
112,6.840283,53.69676,10.44221,2.2223,12.04738,0.129402,0.210215,14.41146,
114,7.115894,53.64176,10.57294,2.170582,11.93728,0.051173,0.186809,14.32355,
