Distance (µm),Al Ox%,Si Ox%,Ca Ox%,Mg Ox%,Fe Ox%,Ti Ox%,Cr Ox%,Mn Ox%,
0,2.172112,55.00854,2.228834,29.43131,11.24223,0.373403,0.539735,0.214527,
1.99999999999997,2.22508,54.78292,2.195735,29.55475,11.22257,0.328693,0.554803,0.267758,
4,2.166953,54.90911,2.151193,29.33321,11.03482,0.307375,0.586372,0.237585,
6.00000000000004,2.127417,54.89816,2.205511,29.49608,10.96795,0.275881,0.643095,0.212749,
8,2.169978,54.86109,2.173784,29.37502,10.9949,0.30352,0.535364,0.236479,
9.99999999999997,1.986624,54.99646,2.211139,29.58553,10.9922,0.322019,0.58333,0.222662,
12,2.124183,55.31802,2.183205,29.37377,11.21941,0.290384,0.62176,0.24375,
14,2.103165,55.02571,2.244083,29.24302,11.08317,0.341391,0.456678,0.248181,
16,2.133999,54.56101,2.324772,29.55519,11.11704,0.22639,0.538098,0.236157,
18,2.072465,54.99615,2.228038,29.45704,11.11482,0.355888,0.557372,0.200417,
20,2.137552,54.69381,2.498872,29.15331,11.07699,0.290212,0.581247,0.24681,
22,2.125114,54.8548,2.324255,29.48659,11.10095,0.346527,0.564575,0.225188,
24,2.076926,54.86549,2.334203,29.35476,11.19752,0.290872,0.560734,0.231948,
26,2.130898,55.60712,2.365131,29.47612,11.19732,0.321524,0.569158,0.188316,
28,2.139951,54.73839,2.376641,29.29004,11.10574,0.338644,0.522062,0.191856,
30,2.014408,54.95724,2.337794,29.24984,11.24195,0.304046,0.573169,0.20048,
32,2.069663,54.70115,2.38946,29.11567,11.14875,0.391286,0.523168,0.292235,
34,2.10828,54.63454,2.247643,29.41901,10.96046,0.358753,0.597218,0.193595,
36,2.134175,55.24015,2.203874,29.41803,10.98909,0.252346,0.606686,0.296663,
38,2.159709,54.97031,2.461504,29.20721,11.14782,0.358953,0.562991,0.224044,
40,2.435261,54.46057,3.008397,28.64958,11.16738,0.378416,0.644558,0.236096,
42,2.498764,54.03733,3.01183,28.57839,11.11877,0.469122,0.663077,0.301681,
44,2.595328,54.58989,3.121727,28.43846,11.01528,0.386262,0.610585,0.311146,
46,2.469794,54.31364,2.838317,28.80878,11.11848,0.304271,0.639229,0.224989,
48,2.077657,54.63876,2.202671,29.24853,11.19954,0.372862,0.494681,0.266239,
50,2.013759,54.95585,2.191306,29.4385,11.27109,0.290646,0.545584,0.226427,
52,1.938115,54.87264,2.266617,29.31806,10.98922,0.314035,0.51326,0.190759,
54,2.053772,54.78996,2.263319,29.33482,11.10917,0.321429,0.526097,0.237795,
56,2.002065,54.54738,2.284513,29.23763,11.04176,0.341344,0.539556,0.181979,
58,2.019705,54.72624,2.205063,29.26998,11.0717,0.328876,0.459518,0.268979,
60,1.985824,54.83185,2.234661,29.39016,10.99766,0.329739,0.483147,0.24322,
62,2.029322,54.72465,2.28967,29.24506,11.22542,0.376146,0.587471,0.272247,
64,3.758125,55.51609,3.293289,27.14652,11.00937,0.540128,0.504809,0.273461,
66,13.01255,50.83724,9.830667,7.819747,11.44719,2.073368,0.039738,0.171074,
68,13.57072,50.47812,10.28796,6.794801,11.44961,2.095619,0.00454,0.145086,
70,13.35855,50.47367,10.19985,6.852425,11.23946,2.069034,0.058968,0.145158,
72,13.22557,49.92003,10.2579,6.759604,11.38066,2.061561,0.01175,0.136838,
