Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Fe Ox%,Ti Ox%,Cr Ox%,Mn Ox%,
0,29.74609,2.013886,55.28582,2.187953,10.94354,0.307839,0.498916,0.272002,
1.99999999999999,29.79868,1.792301,55.33952,2.207716,10.80439,0.326603,0.529093,0.266994,
4.00000000000002,29.66035,1.868078,55.2131,2.171515,10.98851,0.220407,0.489165,0.176336,
5.99999999999996,29.69852,1.920084,55.43044,2.166075,10.98743,0.340565,0.495279,0.267333,
8,29.78379,1.974424,55.29596,2.195873,10.96693,0.259767,0.515015,0.214864,
9.99999999999999,29.63227,1.983854,55.16285,2.218075,10.91595,0.301621,0.495674,0.249187,
12,29.73343,1.914701,55.38538,2.220351,10.90222,0.269053,0.531035,0.243202,
14,29.59359,1.865848,55.18765,2.194869,10.93448,0.301345,0.478289,0.219416,
16,29.66847,2.049746,55.32754,2.247366,10.96386,0.27742,0.529095,0.291622,
18,29.53277,2.067507,55.09692,2.159071,11.0993,0.286633,0.551227,0.25926,
20,29.57772,2.09732,54.97853,2.256215,11.09814,0.218101,0.551734,0.23713,
22,29.72712,2.10052,55.25671,2.243535,11.08152,0.357975,0.514404,0.252873,
24,29.6609,1.924524,55.23737,2.262837,11.33166,0.407171,0.571561,0.199975,
26,29.70728,1.97528,55.42892,2.161261,11.02433,0.306699,0.528312,0.181839,
28,29.36369,2.126516,55.20862,2.251492,11.24326,0.334951,0.567172,0.24115,
30,29.2257,2.340521,54.71022,2.307457,11.05313,0.35857,0.513002,0.299446,
32,29.47104,2.298749,54.86429,2.279898,11.15732,0.309481,0.614512,0.175911,
34,29.54883,2.204465,54.9763,2.27739,11.08341,0.356248,0.53559,0.225335,
36,29.6599,2.014781,55.33361,2.186617,10.90625,0.296182,0.601475,0.307523,
38,29.66994,1.961738,55.16273,2.229837,11.15768,0.328647,0.447561,0.247667,
40,29.67948,1.968146,55.12709,2.197199,10.82024,0.269243,0.461363,0.228973,
42,29.78211,2.184339,55.01462,2.21485,11.09073,0.261752,0.505005,0.204934,
44,29.76936,1.989429,55.69304,2.179704,11.02498,0.293329,0.505318,0.193749,
46,29.65189,2.229222,55.40652,2.198127,10.97456,0.313153,0.552772,0.217169,
48,29.55538,2.050682,55.40936,2.28954,10.97733,0.334366,0.51138,0.272982,
50,29.62272,2.100231,55.43977,2.261142,11.03082,0.248813,0.599464,0.211291,
52,29.93386,1.997184,55.63229,2.262639,11.16627,0.284296,0.539017,0.245669,
54,29.821,2.129223,56.02452,2.212595,10.9734,0.277517,0.543515,0.192297,
56,28.18587,4.072513,58.35847,3.201704,10.9764,0.529852,0.472597,0.271541,
58,7.875304,13.4315,52.38151,9.758459,11.03641,1.988419,0.001635,0.203057,
60,7.213411,13.69973,51.80347,10.23396,11.12743,2.040163,0.054596,0.258766,
62,7.122306,13.63051,51.78738,10.17183,11.01523,2.132946,0.039355,0.202484,
63.9999999999999,7.223246,13.71425,51.57721,10.35875,11.04848,1.996525,0.034045,0.18622,
65.9999999999999,7.055493,13.65914,51.38165,10.21604,10.82581,2.123203,0.058954,0.188428,
68,7.127084,13.52054,51.65714,10.32081,10.90838,2.056428,0.002528,0.129382,
