Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Na Ox%,Al Ox%,Ti Ox%,Cr Ox%,
0,17.74149,52.20914,18.96511,0.149769,6.53552,0.180893,2.980647,0.617776,0.830853,
0.499999999999998,17.60949,52.23809,19.0793,0.27618,6.568147,0.241646,3.053449,0.539732,0.836601,
0.999999999999995,17.67791,52.19219,18.92571,0.188578,6.452102,0.210836,3.01474,0.589402,0.88155,
1.50000000000001,17.73422,55.39323,18.62258,0.18103,6.340794,0.2307,3.13964,0.63991,0.763684,
2,17.88174,53.08382,18.7252,0.254129,6.469761,0.154387,3.156063,0.606945,0.829023,
2.5,17.75711,52.28582,19.0331,0.198344,6.608439,0.219862,3.06859,0.593087,0.777182,
3,17.62904,52.31064,18.9677,0.162125,6.54672,0.167327,2.970738,0.570107,0.828369,
3.5,17.60581,52.32303,19.02275,0.122767,6.431595,0.337442,3.058189,0.631557,0.770164,
3.99999999999999,17.74652,52.20881,19.06279,0.222243,6.694689,0.249312,2.940704,0.481132,0.782826,
4.50000000000001,17.63569,52.38588,18.97273,0.183602,6.57233,0.203685,3.034338,0.65322,0.874644,
5,17.6654,52.52583,18.99361,0.139583,6.546338,0.208016,2.94435,0.574955,0.839115,
5.5,17.69541,52.26659,18.85999,0.117755,6.626934,0.240672,2.994166,0.534641,0.768399,
6,17.67916,52.13485,18.94551,0.093156,6.564458,0.200202,3.021353,0.530011,0.807866,
6.5,17.7222,52.08653,18.88157,0.160342,6.497313,0.21031,3.102527,0.488579,0.787002,
6.99999999999999,17.68418,52.23624,18.95662,0.193346,6.440973,0.236372,3.021566,0.567478,0.778694,
7.50000000000001,17.69255,52.54422,18.94869,0.122807,6.476356,0.251557,3.065517,0.639489,0.804759,
8,17.5367,52.38232,18.91039,0.125551,6.588997,0.247859,3.071036,0.58755,0.843351,
8.5,17.72718,52.32666,19.08058,0.157806,6.504704,0.237154,3.048551,0.524012,0.804676,
9,17.80192,52.07018,19.04038,0.213335,6.631833,0.242503,3.071239,0.557603,0.886115,
9.5,17.89852,52.30482,19.00362,0.145375,6.56804,0.203901,3.134022,0.647372,0.859334,
9.99999999999999,17.8257,52.54535,19.0164,0.165142,6.689387,0.257356,3.096879,0.602774,0.80402,
10.5,17.74516,52.47116,19.08639,0.231395,6.51515,0.204467,3.119519,0.564869,0.759488,
11,17.57085,51.98608,18.97716,0.259489,6.459198,0.27759,3.103759,0.605223,0.779008,
11.5,17.75596,52.30908,18.87652,0.205361,6.409368,0.175748,2.94241,0.590316,0.68475,
12,17.79393,52.494,19.08666,0.113649,6.691044,0.199479,3.118458,0.584769,0.683496,
12.5,17.66053,52.1679,18.94716,0.189099,6.475686,0.212553,3.10558,0.652487,0.770965,
13,17.75376,52.19949,18.94533,0.143051,6.691999,0.19322,3.096471,0.631073,0.78083,
13.5,17.63306,52.45877,18.82961,0.148723,6.658051,0.277802,3.187348,0.654077,0.791369,
14,17.79102,52.11451,18.50052,0.223569,7.045274,0.244375,3.092249,0.577943,0.723642,
14.5,17.92473,52.24458,18.09844,0.23004,7.436048,0.150736,3.123822,0.655827,0.707065,
15,18.087,51.91662,17.83522,0.124614,7.613769,0.191238,3.34988,0.672943,0.620838,
15.5,18.06313,52.05997,17.93858,0.15168,7.784851,0.126584,3.439358,0.702167,0.56489,
16,17.86264,51.86788,17.70356,0.135493,7.646334,0.165229,3.442027,0.728479,0.629685,
16.5,17.81582,51.58509,17.95808,0.204873,7.660749,0.1301,3.449105,0.721088,0.523261,
17,17.59678,51.78745,17.9388,0.213187,7.884077,0.163559,3.614597,0.630688,0.405914,
17.5,17.67842,52.01863,17.98375,0.198259,7.727178,0.188199,3.592639,0.784115,0.545473,
18,17.73952,52.19362,17.9194,0.233313,7.671147,0.172767,3.528993,0.669377,0.431566,
18.5,17.61266,52.10566,18.02127,0.182459,7.784448,0.227415,3.365293,0.667115,0.518956,
19,17.90824,52.29352,17.95392,0.230547,7.663787,0.215494,3.278672,0.665798,0.673388,
19.5,18.12034,52.52637,17.9169,0.233108,7.405747,0.16415,3.023911,0.572948,0.728931,
20,18.28568,52.41351,17.80141,0.175336,7.346607,0.18465,3.230529,0.552159,0.830595,
20.5,18.09415,52.40375,17.61782,0.167395,7.377088,0.219625,3.049632,0.62172,0.795799,
21,18.37429,52.16133,17.63383,0.106546,7.382967,0.19165,2.969179,0.563468,0.802969,
21.5,18.19079,52.51211,17.56534,0.144459,7.660672,0.220673,3.131929,0.584131,0.805115,
22,18.08776,52.04031,17.47652,0.167277,7.434238,0.24094,3.169589,0.615741,0.855879,
22.5,17.97098,51.99308,16.99082,0.191681,7.658203,0.234081,3.751982,0.794878,0.782349,
23,16.91272,51.96754,16.90991,0.214914,8.180545,0.356084,4.728111,0.854168,0.688841,
