Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,43.38848,0.393795,39.80197,0.289136,0.034362,-0.010291,0.205436,17.67143,0.309774,
0.500000000000013,43.49784,0.389549,39.64133,0.239395,0.061918,0.062919,0.271866,17.75578,0.294022,
0.999999999999981,43.78822,0.335498,39.5487,0.260743,-0.052364,0.017693,0.291168,17.66797,0.301624,
1.49999999999999,43.65538,0.364953,39.4736,0.260773,-0.006531,0.034076,0.294043,17.65641,0.294717,
2.00000000000001,43.66236,0.380873,39.75939,0.216237,0.028619,-0.009836,0.27237,17.76719,0.405594,
2.50000000000002,43.48448,0.411989,39.59612,0.300878,0.047438,0.040677,0.251963,17.46081,0.30191,
2.99999999999999,43.72195,0.42554,39.59811,0.26259,0.097241,0.044756,0.266805,17.68513,0.41665,
3.5,43.45088,0.292122,39.6146,0.234363,0.078965,0.01734,0.28503,17.66626,0.247619,
4.00000000000002,43.73003,0.272266,39.47409,0.227016,0.01287,-0.039519,0.285219,17.73756,0.304071,
4.49999999999998,43.60062,0.43054,39.53749,0.257679,-0.020297,-0.005631,0.33062,17.87907,0.358537,
5,43.37848,0.350485,39.49377,0.207342,0.03126,0.060146,0.237105,17.71664,0.338148,
5.50000000000001,43.66463,0.349251,39.75847,0.272799,0.052532,0.088569,0.225207,17.89164,0.409293,
6.00000000000002,43.40007,0.351269,39.34134,0.253076,0.059783,0.043686,0.185912,17.74249,0.348945,
6.49999999999999,43.50017,0.409509,39.46402,0.204888,0.046056,0.005796,0.264001,17.69326,0.416911,
7,43.21623,0.360519,39.56578,0.218484,-0.020476,0.09922,0.295542,17.73393,0.256761,
7.50000000000002,43.55236,0.3791,39.49391,0.243208,-0.048317,0.051509,0.323773,17.81102,0.390974,
7.99999999999998,43.37278,0.382034,39.72885,0.261966,0.006001,0.0522,0.284414,17.50397,0.302124,
8.5,43.68128,0.300154,39.76773,0.233287,-0.018791,0.051107,0.270736,17.61465,0.377878,
9.00000000000001,43.27462,0.385626,39.58505,0.20307,0.020935,0.081705,0.216244,17.7391,0.351989,
9.50000000000002,43.84282,0.363714,39.5201,0.23759,0.021316,-0.001024,0.254145,17.86038,0.387886,
9.99999999999999,43.64939,0.300928,39.7041,0.22391,-0.010436,0.058745,0.23563,17.73594,0.447846,
10.5,43.4263,0.351414,39.9352,0.217203,-0.008787,0.031619,0.292625,17.59513,0.344421,
11,43.45595,0.310828,39.63666,0.245226,0.036539,0.00244,0.250247,17.72625,0.41218,
11.5,43.4888,0.336844,39.46907,0.204995,0.063945,0.040209,0.257198,17.55157,0.363032,
12,43.71953,0.34154,39.81226,0.221072,-0.013673,-0.030139,0.266802,17.82486,0.359814,
12.5,43.44565,0.433056,39.41099,0.234571,0.085537,0.026325,0.212158,17.79524,0.228825,
13,43.3442,0.373757,39.5785,0.241407,-0.003167,0.071563,0.153143,17.76824,0.267365,
13.5,43.5183,0.381208,39.63251,0.212125,0.059613,0.011252,0.250196,17.6828,0.331051,
14,43.64518,0.380393,39.6902,0.269591,0.002918,0.027692,0.262757,17.82285,0.33015,
14.5,43.55931,0.359699,39.64555,0.229558,-0.041289,0.0221,0.284913,17.52509,0.244209,
15,43.75954,0.279353,39.74506,0.244261,0.011876,0.181225,0.206973,17.70721,0.33161,
15.5,43.28581,0.355387,39.63278,0.211405,0.019903,-0.020167,0.216024,17.49746,0.350621,
16,43.3898,0.390282,39.45716,0.221398,-0.035795,0.020743,0.254595,17.30981,0.306863,
16.5,43.32455,0.40692,39.64864,0.213825,0.047562,0.067544,0.303093,17.67798,0.360735,
17,43.70044,0.37458,39.96268,0.253256,0.024671,0.113347,0.293864,17.64229,0.385031,
