Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,6.948977,50.59116,10.60368,0.193136,11.07944,0.05452,
2,7.917701,50.78151,10.08572,0.202018,11.17606,-0.001803,
4.00000000000001,39.29818,50.01237,2.041732,0.219616,18.40309,0.21131,
6,44.49035,41.9255,0.312172,0.306042,18.90627,0.128633,
7.99999999999999,43.73748,40.62492,0.284874,0.235315,18.89842,0.104199,
10,43.67487,40.86638,0.310953,0.353548,18.75099,0.188001,
12,43.79934,40.75129,0.24771,0.344571,18.83786,0.304883,
14,44.0739,40.58718,0.32355,0.295168,18.70392,0.162227,
16,44.38571,40.68853,0.297372,0.191252,18.24442,0.121379,
18,44.6324,40.69234,0.208472,0.281246,17.64007,0.284769,
20,44.8134,40.72198,0.224462,0.252096,17.29771,0.26678,
22,45.16877,41.00465,0.257301,0.195136,16.99527,0.228581,
24,45.49874,40.8203,0.196828,0.214252,16.67815,0.239897,
26,45.94064,41.10631,0.238268,0.264753,16.06318,0.287827,
28,46.1022,40.89643,0.211162,0.265914,15.78825,0.21215,
30,46.46167,41.13898,0.242535,0.282947,15.55669,0.373514,
32,46.41045,41.11469,0.255826,0.201191,15.24706,0.284344,
34,46.41103,40.91264,0.23314,0.162809,15.14243,0.291801,
36,46.78765,41.09629,0.248116,0.207228,14.85631,0.406258,
38,46.68655,40.94371,0.301829,0.220484,14.65681,0.329595,
40,47.2639,41.17479,0.159465,0.193677,14.64305,0.350796,
42,47.00731,40.81437,0.259178,0.222145,14.48061,0.266693,
44,47.09284,41.2991,0.278979,0.238189,14.35091,0.388348,
46,46.81825,40.9049,0.250316,0.282267,14.29863,0.217526,
48,44.30874,38.85876,0.253819,0.204021,13.63599,0.338468,
50,42.04841,36.46485,0.210173,0.149191,10.87119,0.279388,
52,50.07367,44.22235,0.229415,0.222384,14.3591,0.349574,
54,47.23435,41.19699,0.300623,0.207204,14.49314,0.358734,
56,46.82659,40.90957,0.263668,0.237547,14.21762,0.341059,
58,47.05283,40.72802,0.250328,0.164358,14.54109,0.306139,
60,46.79647,41.03648,0.19966,0.218409,14.47793,0.324566,
62,46.84136,40.77267,0.248393,0.240653,14.58187,0.308444,
64,46.64526,41.05359,0.247561,0.184556,14.66461,0.421794,
66,46.75979,40.93957,0.278733,0.211476,14.59279,0.392519,
68,46.62783,40.82841,0.284129,0.270922,14.69834,0.326903,
70,46.53627,40.68361,0.256144,0.30198,14.41588,0.264367,
72,46.49227,40.80181,0.234941,0.223677,14.69981,0.318866,
74,46.52931,40.77213,0.304298,0.185923,14.44222,0.355564,
76,46.63453,40.84888,0.233024,0.173793,14.8725,0.228613,
78,46.46117,40.67136,0.278306,0.174691,14.62628,0.31115,
80,46.2587,40.73344,0.257676,0.22987,14.68323,0.337963,
82,46.39731,40.55188,0.234431,0.219971,14.65335,0.380098,
84,46.04962,40.67645,0.227023,0.225862,14.66531,0.31562,
86,46.4871,40.82722,0.292388,0.208247,14.87071,0.364837,
