Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Fe Ox%,Ti Ox%,Cr Ox%,Mn Ox%,
0,6.666327,14.0712,52.28502,10.34066,11.06401,2.268842,0.100212,0.210788,
2,6.64925,14.11427,52.22174,10.18003,11.15876,2.165555,0.029954,0.149676,
4,7.065183,13.99174,52.821,9.952352,11.21607,1.962728,0.090721,0.149504,
5.99999999999999,19.2852,8.311229,55.86929,6.474937,10.50287,1.175163,0.323743,0.265456,
7.99999999999999,29.81453,2.450887,56.09921,2.621137,10.28573,0.396245,0.525523,0.253645,
9.99999999999999,30.62624,1.957348,56.03198,2.236287,10.82848,0.413671,0.4609,0.287545,
12,30.42515,1.90743,56.12759,2.277181,10.58759,0.340365,0.443271,0.207734,
14,30.40404,2.00591,55.81168,2.259814,10.49385,0.343632,0.538757,0.172869,
16,30.44593,1.809996,56.11951,2.237656,10.37804,0.343215,0.428295,0.258646,
18,30.60044,1.806767,56.09472,2.231868,10.48536,0.284155,0.419274,0.245454,
20,30.25056,1.903779,56.16341,2.250429,10.4444,0.271251,0.453154,0.18023,
22,30.41957,1.855252,55.70302,2.230706,10.70384,0.373715,0.461368,0.179984,
24,30.4681,1.865813,56.2595,2.215152,10.45816,0.247013,0.485651,0.219125,
26,30.49934,1.729613,56.14572,2.232447,10.51022,0.307509,0.500653,0.166993,
28,30.40243,1.843941,56.04195,2.237077,10.5387,0.276007,0.488815,0.208117,
30,30.42509,1.702996,55.78162,2.322955,10.44882,0.330229,0.526139,0.163892,
32,30.23076,1.819415,56.01559,2.261369,10.23569,0.228426,0.452297,0.203656,
34,30.35574,1.73709,56.02159,2.219445,10.45563,0.258771,0.446949,0.195276,
36,30.43045,1.876773,55.99929,2.278387,10.28102,0.308191,0.471944,0.153003,
38,30.62803,1.816127,55.77836,2.184866,10.6682,0.259726,0.462775,0.23931,
40,30.50359,1.82719,55.7567,2.251228,10.42295,0.296924,0.521212,0.288661,
42,30.24024,1.834449,55.91704,2.189545,10.36659,0.310966,0.469479,0.257066,
44,30.54384,1.824015,55.77557,2.272805,10.49113,0.223729,0.56481,0.183862,
46,30.25563,1.971497,55.69773,2.338091,10.54251,0.305505,0.453679,0.192579,
48,30.42668,1.963258,55.6443,2.245176,10.70025,0.264583,0.522983,0.252688,
50,30.16,1.966004,55.83573,2.301661,10.5661,0.304091,0.518174,0.172998,
52,30.14831,2.021654,55.53555,2.289593,10.42533,0.236377,0.500507,0.297494,
54,30.35387,2.027669,55.50919,2.308597,10.43636,0.237391,0.531682,0.189108,
56,30.49722,1.862531,55.98076,2.262772,10.60154,0.385524,0.475052,0.208949,
58,30.38331,1.861168,55.58121,2.23786,10.57967,0.325993,0.524312,0.216405,
60,30.27864,1.978636,55.85715,2.256964,10.54607,0.356919,0.420607,0.224524,
62,30.21437,1.860326,55.6995,2.167118,10.42273,0.354038,0.442235,0.2243,
64,30.32497,1.988927,55.62697,2.213085,10.4833,0.416849,0.55759,0.130697,
66,30.21848,1.960604,55.71795,2.23594,10.60511,0.393255,0.431414,0.240243,
68,30.28766,1.981742,55.80659,2.194788,10.63603,0.334468,0.529257,0.251423,
70,30.23329,1.889015,55.64392,2.235264,10.43634,0.405596,0.400674,0.266588,
72,29.98668,1.976154,55.28462,2.222824,10.40326,0.356199,0.458775,0.193004,
74,30.33608,2.049997,55.84046,2.204511,10.56569,0.330965,0.428655,0.220564,
76,30.14677,1.892278,55.55209,2.212439,10.53242,0.409884,0.355764,0.245121,
78,30.15569,1.82107,55.65541,2.147936,10.64577,0.45191,0.388425,0.19777,
80,30.09273,1.981551,55.5232,2.199918,10.63759,0.419978,0.40507,0.174468,
82,30.27227,1.937184,55.57095,2.227031,10.80996,0.43332,0.405693,0.262423,
84,30.04974,1.890015,55.59184,2.219362,10.59421,0.360845,0.50549,0.178171,
86,30.07634,1.907516,55.60512,2.135282,10.7733,0.472806,0.470883,0.169121,
88,30.03412,1.94317,55.53094,2.110545,10.73421,0.454024,0.49065,0.300354,
90,29.97202,1.943196,55.35271,2.184494,10.80565,0.381006,0.458845,0.250172,
92,29.89422,1.822162,55.35596,2.263288,10.69265,0.369942,0.430986,0.310932,
94,29.83589,2.022684,55.53919,2.192984,10.94171,0.347998,0.531738,0.271075,
96,29.90426,1.942786,55.66745,2.176127,11.05792,0.293435,0.49227,0.234723,
98,29.72423,2.113946,55.33829,2.236241,11.15967,0.278232,0.542234,0.267205,
100,29.71447,2.010366,55.55652,2.195525,11.07659,0.233663,0.585137,0.280162,
102,29.68906,1.938658,55.4015,2.276782,11.49937,0.254346,0.509405,0.238404,
