Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,30.05064,1.589281,56.14685,2.216406,0.270721,0.392024,0.292212,11.35948,
2,29.69616,1.62628,56.25372,2.303707,0.303178,0.360779,0.187383,11.2774,
4,29.89668,1.607993,56.26227,2.269048,0.215296,0.414812,0.248545,11.34677,
6.00000000000001,29.91809,1.603161,56.01924,2.197228,0.271922,0.366775,0.284283,11.31524,
8,29.93589,1.669792,56.24728,2.224981,0.242768,0.312302,0.200963,11.23753,
10,30.10713,1.679735,56.03675,2.292074,0.25189,0.367036,0.273712,11.40313,
12,30.07378,1.645467,56.10257,2.315198,0.247642,0.351152,0.237111,11.31358,
14,30.03874,1.631693,56.61774,2.249407,0.214452,0.390185,0.288493,11.32442,
16,29.92739,1.564351,56.13369,2.300969,0.239988,0.327214,0.200778,11.18741,
18,29.97278,1.675685,56.24197,2.285337,0.285811,0.350418,0.195459,11.41117,
20,30.09124,1.5907,56.24115,2.242217,0.256314,0.354096,0.242043,11.41484,
22,30.12851,1.635948,56.08174,2.255716,0.370784,0.479679,0.196633,11.33024,
24,30.00953,1.88878,55.79339,2.241863,0.36805,0.442772,0.218374,11.42226,
26,29.63229,2.00778,55.95078,2.166487,0.269796,0.408031,0.214804,11.485,
28,29.65982,1.901171,55.71151,2.211372,0.301701,0.367166,0.220692,11.51044,
30,29.59596,1.933624,55.63686,2.259369,0.315825,0.376582,0.24243,11.3729,
32,29.74593,1.946203,56.00555,2.285643,0.299728,0.504427,0.27279,11.4869,
34,29.55273,2.057909,55.33716,2.294273,0.337607,0.475367,0.178408,11.40059,
36,29.58637,1.998349,55.65449,2.281056,0.171751,0.515243,0.244216,11.38366,
38,29.90405,1.876275,55.77643,2.255892,0.292637,0.434365,0.306742,11.42988,
40,29.55296,1.8934,55.71244,2.299522,0.273362,0.418249,0.238127,11.33274,
42,29.97701,1.865594,55.90125,2.233221,0.304148,0.388813,0.241859,11.36994,
44,29.86899,1.802287,55.96517,2.220943,0.248791,0.425593,0.1789,11.35876,
46,30.1109,1.820755,56.00056,2.220244,0.214436,0.369017,0.26476,11.29814,
48,29.90949,1.678069,56.14963,2.269915,0.273266,0.376542,0.259142,11.26795,
50,29.93537,1.713178,55.80149,2.262661,0.251917,0.412375,0.202891,11.21031,
52,29.95116,1.695956,56.12693,2.238063,0.251781,0.413199,0.227647,11.35402,
54,29.98213,1.650249,55.83754,2.272745,0.219785,0.362799,0.288835,11.45158,
56,30.00446,1.689374,55.97555,2.221533,0.299824,0.353619,0.260607,11.37267,
58,30.05552,1.690582,55.85712,2.323832,0.238158,0.332876,0.298298,11.44453,
60,29.86085,1.671055,56.00883,2.199293,0.252727,0.381808,0.22287,11.5269,
62,29.95582,1.703447,55.90885,2.238189,0.261577,0.412663,0.315238,11.59578,
64,29.7331,1.734289,55.88705,2.282043,0.353637,0.422452,0.212299,11.20636,
66,30.03189,1.668453,55.95964,2.300035,0.230354,0.412861,0.286846,11.44529,
68,29.86357,1.703135,55.815,2.233351,0.255647,0.406554,0.250024,11.33766,
70,29.77149,1.696791,55.695,2.205137,0.24187,0.291267,0.293334,11.15569,
72,29.95446,1.62224,55.81665,2.219052,0.221676,0.303723,0.2544,11.51107,
74,29.71283,1.609391,55.71285,2.244877,0.272229,0.423871,0.186168,11.14979,
76,29.94581,1.532961,55.72773,2.222656,0.245628,0.387646,0.261787,11.28535,
78,29.83076,1.718546,55.84641,2.196447,0.207071,0.415203,0.191306,11.32292,
80,29.75098,1.561779,55.63266,2.282027,0.245288,0.337885,0.253727,11.18191,
82,29.58734,1.648668,55.71883,2.237561,0.284606,0.421107,0.281749,11.17177,
84,29.64053,1.66074,55.72798,2.145354,0.226717,0.356413,0.203819,11.1881,
86,29.48608,2.049366,55.40858,2.207942,0.267877,0.454653,0.23787,11.43665,
88,29.22966,2.101334,54.96067,2.314898,0.325445,0.476388,0.305086,11.32119,
90,29.23821,2.203857,54.84363,2.258087,0.375564,0.509747,0.269081,11.51565,
92,29.26144,2.142054,54.78483,2.316834,0.351272,0.527757,0.31875,11.43886,
94,29.16696,2.145887,54.8087,2.28501,0.481155,0.508269,0.207529,11.48116,
96,29.26003,2.304604,54.69556,2.265952,0.320756,0.474098,0.26877,11.5219,
98,29.12262,2.21793,54.76762,2.287878,0.315437,0.512619,0.211739,11.44114,
