Distance (µm),Ni Ox%,Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,
0,0.018727,7.271252,43.05314,9.632399,0.233832,11.18194,
2.00000000000003,0.265571,35.74724,38.23301,1.657719,0.240383,18.0017,
3.99999999999999,0.294517,40.25878,37.62141,0.370403,0.269423,18.1816,
6.00000000000002,0.24877,41.20832,38.60512,0.296841,0.216686,17.67607,
7.99999999999998,0.112068,41.23998,38.19816,0.328692,0.20657,17.22192,
9.99999999999998,0.271256,41.80462,38.12013,0.31174,0.23885,17.24494,
12,0.286244,41.60149,38.3524,0.295187,0.200559,17.36388,
14,0.229877,41.97414,38.01596,0.267988,0.235604,17.24462,
16,0.238204,42.25271,38.59382,0.254064,0.253185,17.0237,
18,0.231102,42.32996,38.55127,0.277354,0.256056,16.69688,
20,0.240753,42.80797,38.60711,0.28996,0.29728,16.8006,
22,0.214465,42.70749,38.64904,0.192763,0.176516,16.66224,
24,0.235861,42.95371,38.54205,0.212775,0.172747,16.50055,
26,0.221751,43.25935,38.7048,0.196611,0.2304,16.46607,
28,0.163961,43.15659,38.80038,0.235021,0.297676,16.32589,
30,0.342882,43.59289,39.08514,0.185911,0.298739,16.20881,
32,0.316537,43.52979,38.98759,0.172327,0.257435,16.13617,
34,0.268622,43.41679,38.89939,0.207891,0.254706,16.14918,
36,0.417607,43.77453,39.22235,0.211949,0.168091,15.87566,
38,0.212703,43.87513,39.04947,0.237615,0.290499,15.68045,
40,0.325419,43.95584,39.01283,0.203582,0.232642,15.48995,
42,0.366009,43.99378,39.30973,0.214015,0.249603,15.25442,
44,0.278553,43.91545,39.28033,0.174189,0.2655,15.53696,
46,0.282237,44.12373,39.24828,0.217992,0.198476,15.49844,
48,0.296817,44.44191,39.51583,0.217715,0.25013,15.28934,
50,0.286901,44.3736,39.02103,0.203653,0.223718,15.1743,
52,0.257637,44.56311,39.34927,0.241431,0.234127,15.35366,
54,0.301536,44.5644,39.20151,0.226491,0.164614,14.94199,
56,0.288115,44.75879,39.40158,0.173196,0.227549,14.9525,
58,0.394739,45.11932,39.5063,0.190365,0.180306,14.79293,
60,0.262531,44.60815,39.47301,0.198928,0.242685,14.79335,
62,0.278536,45.03436,39.56884,0.208053,0.243533,14.78086,
64,0.309705,44.91524,39.43423,0.197075,0.108458,14.53466,
66,0.190531,45.05004,39.62293,0.186344,0.205344,14.57366,
68,0.361773,45.4043,39.47329,0.217026,0.195723,14.43936,
70,0.241509,45.13815,39.53644,0.230623,0.205118,14.36045,
72,0.331026,45.42338,39.61021,0.194742,0.19533,14.56585,
74,0.226256,45.61467,39.70194,0.190479,0.229883,14.43605,
76,0.273738,45.52966,39.65331,0.218315,0.183922,14.16668,
78,0.392663,45.55707,39.68624,0.23695,0.230293,14.05727,
80,0.358776,45.47859,39.4769,0.210697,0.199731,13.99027,
82,0.319742,45.6204,39.806,0.182145,0.141993,14.05637,
84,0.347958,45.83274,39.76226,0.183567,0.253335,13.90876,
86,0.275252,45.86995,39.78514,0.185638,0.221331,13.8167,
88,0.296614,45.97464,39.8071,0.204528,0.251073,13.67396,
90,0.357658,45.74899,39.92286,0.249871,0.18434,13.75882,
92,0.393662,49.99475,43.37674,0.248669,0.172236,13.82483,
94,0.171688,34.55278,30.27392,0.198665,0.206877,10.51554,
96,0.320958,16.97989,15.44299,0.109725,0.176479,12.76354,
98,0.376288,44.46617,38.75562,0.183086,0.171358,13.34191,
100,0.34621,45.84166,39.77834,0.16331,0.189304,13.53184,
102,0.286748,45.96325,39.79696,0.22698,0.199052,13.45837,
104,0.372548,46.22734,39.85502,0.239,0.255396,13.56448,
106,0.358267,46.31241,39.94528,0.212022,0.154574,13.50173,
108,0.362855,45.94103,39.69594,0.170799,0.24169,13.34627,
110,0.364715,46.07478,39.84563,0.193474,0.229409,13.33255,
112,0.304519,46.32734,39.81181,0.164916,0.14495,13.41307,
114,0.316905,46.17724,39.62152,0.206911,0.218987,13.33836,
116,0.352761,46.36024,39.82597,0.217986,0.194897,13.20309,
118,0.294128,46.47599,39.74857,0.174989,0.166387,13.34375,
120,0.382539,46.50027,39.83281,0.230406,0.20053,13.33065,
122,0.246901,46.51204,40.06801,0.230811,0.133716,13.45185,
124,0.362751,46.47109,40.01472,0.180593,0.212288,13.12943,
