Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,30.40284,1.386961,55.28022,1.847654,0.314986,0.409721,0.284271,10.07334,
1.99999999999997,30.28325,1.37376,55.5768,1.816166,0.185422,0.393878,0.250628,10.12009,
4,30.39821,1.431827,55.32034,1.85652,0.280323,0.366755,0.260214,10.08582,
6.00000000000002,30.3352,1.484619,55.50468,1.878629,0.226866,0.362132,0.218508,9.989366,
7.99999999999999,30.4972,1.385113,55.2823,1.768313,0.218321,0.421912,0.196005,10.23085,
10,30.40462,1.328881,55.53627,1.885159,0.11822,0.321446,0.188866,10.21654,
12,30.30118,1.457806,55.36131,1.839387,0.233919,0.387901,0.226326,10.19215,
14,30.30556,1.422003,55.67082,1.819455,0.258465,0.319657,0.209721,9.994311,
16,30.22388,1.527229,55.60981,1.891795,0.289599,0.403967,0.210987,9.842727,
18,30.42059,1.357578,55.64862,1.760397,0.254078,0.326322,0.249057,9.983356,
20,30.30961,1.411363,55.62074,1.796308,0.186074,0.371591,0.125426,10.17889,
22,30.24144,1.441471,55.49422,1.870766,0.258666,0.396826,0.232848,10.06376,
24,30.41015,1.412432,55.3471,1.894536,0.226061,0.349883,0.280245,10.0796,
26,30.44486,1.309756,55.31561,1.854016,0.187029,0.312768,0.269358,10.3066,
28,30.38916,1.393822,55.4939,1.853394,0.160001,0.405477,0.202792,10.10146,
30,30.33243,1.406516,55.3372,1.874468,0.209168,0.353894,0.261873,10.22445,
32,30.42808,1.366257,55.46666,1.855337,0.114256,0.40983,0.127083,10.23249,
34,30.39876,1.448097,55.4106,1.830216,0.200703,0.427077,0.217297,10.06725,
36,30.2892,1.388126,55.63387,1.865909,0.181582,0.415458,0.26016,9.965677,
38,30.41795,1.421133,55.46992,1.841209,0.196549,0.40707,0.210701,10.03548,
40,30.4301,1.439185,55.54159,1.83983,0.126813,0.410171,0.161948,10.05036,
42,30.47497,1.423645,55.28022,1.838794,0.206177,0.365308,0.212272,10.19862,
44,30.3503,1.484406,55.27033,1.878046,0.219043,0.30859,0.284225,10.20506,
46,30.36183,1.458801,55.255,1.86618,0.201554,0.451806,0.178011,10.22682,
48,30.46582,1.401584,55.16017,1.804971,0.176416,0.36914,0.21098,10.41092,
50,30.22243,1.4664,55.44141,1.882069,0.173831,0.370044,0.175968,10.26785,
52,30.17006,1.474403,55.59246,1.894655,0.16787,0.357602,0.145671,10.19728,
54,30.3159,1.428729,55.49772,1.897907,0.149921,0.344961,0.19109,10.17375,
56,30.36498,1.461477,55.31045,1.852761,0.234491,0.328051,0.321896,10.1259,
58,30.45058,1.431263,55.31131,1.835787,0.207549,0.3975,0.200175,10.16585,
60,30.18486,1.323706,55.78739,1.809715,0.167711,0.448409,0.187411,10.09079,
62,30.31865,1.400986,55.37648,1.776808,0.246408,0.412874,0.248869,10.21894,
64,30.37247,1.461587,55.26664,1.856582,0.204148,0.442142,0.256569,10.13987,
66,30.35041,1.408222,55.20142,1.893469,0.198703,0.379406,0.228652,10.33972,
68,30.3134,1.409875,55.21445,1.812744,0.259666,0.382934,0.241428,10.36551,
70,30.42428,1.393171,55.38,1.856326,0.232449,0.3232,0.211907,10.17867,
72,30.44462,1.367531,55.32846,1.874476,0.170963,0.385854,0.202348,10.22575,
74,30.30875,1.409476,55.43372,1.823968,0.18702,0.4151,0.175125,10.24685,
76,30.33306,1.418089,55.34201,1.873156,0.173326,0.406337,0.234403,10.21962,
78,30.37985,1.380018,55.12017,1.829139,0.25715,0.396935,0.202633,10.43411,
80,30.22537,1.421784,55.41974,1.900148,0.165505,0.385896,0.21595,10.2656,
82,30.43632,1.288492,55.40667,1.885478,0.188594,0.423025,0.222274,10.14915,
84,30.35908,1.410631,55.22503,1.851018,0.198176,0.399913,0.273341,10.28282,
86,30.37311,1.381142,55.18658,1.823968,0.234348,0.415926,0.245763,10.33917,
88,30.3531,1.504633,55.21067,1.840769,0.163526,0.420348,0.265031,10.24191,
90,30.3356,1.446575,55.27954,1.867633,0.13129,0.419171,0.243949,10.27625,
92,30.21139,1.401878,55.21973,1.857716,0.314924,0.388082,0.28332,10.32294,
94,30.25384,1.436336,55.20207,1.886582,0.227834,0.410839,0.204199,10.3783,
96,30.13243,1.322992,55.55954,1.866869,0.160604,0.420697,0.16487,10.37199,
98,30.17317,1.323543,55.46025,1.859657,0.238594,0.452548,0.216853,10.2754,
100,30.141,1.470137,55.35115,1.877161,0.253914,0.338425,0.217258,10.35095,
102,30.12884,1.490498,55.12012,1.901958,0.193997,0.448489,0.234488,10.48161,
104,30.419,1.437513,55.08668,1.799029,0.309723,0.301345,0.170036,10.47667,
106,30.35458,1.367344,55.40766,1.834164,0.182268,0.373251,0.151806,10.32892,
108,30.12121,1.473862,55.43505,1.930783,0.231901,0.412934,0.197254,10.197,
110,30.29527,1.429716,55.26981,1.882235,0.237924,0.371804,0.210337,10.3029,
112,30.16856,1.366758,55.37271,1.900241,0.215298,0.410546,0.204927,10.36095,
114,30.15169,1.419707,55.28926,1.909407,0.193677,0.350873,0.211946,10.47345,
116,30.13155,1.445734,55.48932,1.845267,0.192107,0.411544,0.277814,10.20667,
118,30.14057,1.460096,55.27772,1.857228,0.250758,0.470726,0.210303,10.33261,
120,30.31783,1.308621,55.33975,1.84815,0.167236,0.345093,0.239819,10.43349,
122,29.97222,1.443243,55.32464,1.86451,0.196314,0.392914,0.266766,10.53939,
124,30.17097,1.404614,55.26857,1.784104,0.247592,0.439593,0.237207,10.44736,
126,30.09779,1.444521,55.31192,1.871607,0.175685,0.389606,0.262365,10.44651,
128,29.96376,1.490459,55.39295,1.924176,0.253529,0.352975,0.216048,10.40609,
130,30.11381,1.478629,55.17368,1.873873,0.162321,0.459059,0.186686,10.55193,
132,29.89424,1.448051,55.29471,1.877995,0.219757,0.422733,0.216399,10.62611,
134,30.13061,1.482757,55.19404,1.856915,0.214818,0.428087,0.198979,10.49378,
136,29.97578,1.492659,55.27733,1.865163,0.250543,0.384922,0.21509,10.5385,
138,29.91892,1.47064,55.18293,1.877471,0.30314,0.436171,0.261822,10.5489,
140,29.95765,1.474872,55.30554,1.906487,0.22951,0.39496,0.192522,10.53845,
142,30.11968,1.492894,55.12124,1.900139,0.176962,0.47825,0.206468,10.50435,
144,29.99959,1.523663,55.17551,1.896474,0.208381,0.38448,0.169585,10.64231,
146,29.95908,1.520363,55.14667,1.809198,0.188095,0.45325,0.245755,10.67759,
148,29.85277,1.373632,55.44742,1.870232,0.212598,0.423002,0.229413,10.59093,
150,29.97901,1.399914,55.22001,1.822703,0.207224,0.483313,0.256944,10.63089,
152,29.99138,1.351238,55.22614,1.820986,0.151375,0.401991,0.277245,10.77964,
154,29.79225,1.481015,55.1906,1.822178,0.202955,0.405386,0.246139,10.85948,
156,29.93487,1.414773,55.28226,1.858668,0.217162,0.333751,0.26147,10.69704,
158,29.74319,1.489645,55.28633,1.870574,0.198436,0.384781,0.172669,10.85436,
160,29.70862,1.466131,55.36091,1.875038,0.199687,0.356764,0.227455,10.80541,
162,29.90325,1.366265,55.22406,1.904518,0.244363,0.401913,0.163482,10.79215,
164,30.01939,1.438694,55.21377,1.858357,0.232577,0.417425,0.151781,10.66799,
166,29.86409,1.474428,55.26904,1.857733,0.15447,0.365613,0.233868,10.78077,
168,29.8795,1.400916,55.18545,1.881356,0.245014,0.35062,0.234861,10.82229,
170,29.85207,1.436149,55.18183,1.921437,0.182958,0.404525,0.282406,10.73862,
172,29.74008,1.381883,55.4255,1.891181,0.175899,0.373005,0.211024,10.80144,
174,29.7278,1.422326,55.30372,1.974246,0.134026,0.382028,0.200023,10.85581,
176,29.71796,1.510301,55.22401,1.944142,0.171444,0.317207,0.207945,10.90699,
178,29.65235,1.495967,55.07853,1.870202,0.208669,0.415811,0.18963,11.08886,
180,29.75587,1.441803,55.06961,1.98732,0.17365,0.383933,0.187717,11.00008,
