Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,45.26102,38.62177,0.246273,-0.029841,0.056807,0.2018,12.40018,
2.00000000000002,45.18554,38.7659,0.242944,-0.068135,0.102213,0.200793,12.47236,
3.99999999999998,45.28974,38.94873,0.194598,0.017822,0.030507,0.163944,12.50811,
6,45.42989,38.91013,0.26378,-0.00776,0.053592,0.167155,12.47806,
8.00000000000002,45.37117,39.02464,0.221427,0.023895,0.077323,0.192679,12.52108,
10,45.23949,38.87726,0.211458,0.107072,0.104225,0.151514,12.53423,
12,45.021,38.68394,0.241759,-0.029013,-0.005457,0.175818,12.67001,
14,45.1903,38.69121,0.211161,-0.010366,0.040051,0.179333,12.64239,
16,45.27913,38.70347,0.257263,-0.016055,0.155757,0.164074,12.82843,
18,45.37263,39.09183,0.220378,0.03894,0.043144,0.142089,12.93466,
20,45.1983,38.8877,0.171515,-0.003443,0.087189,0.189404,12.89696,
22,45.26308,39.05874,0.187136,0.001237,0.146181,0.183907,13.04928,
24,44.82069,38.97013,0.222164,-0.016952,0.057978,0.20198,13.00929,
26,45.19714,38.89982,0.262737,-0.047359,0.04718,0.128639,12.91879,
28,44.9901,38.58349,0.214,-0.01217,0.072825,0.212166,13.00687,
30,45.02003,38.97488,0.188484,0.020834,0.068465,0.161313,13.1323,
32,45.05008,38.86586,0.232867,0.044613,0.082684,0.204811,13.23335,
34,44.71598,38.77982,0.188487,0.027477,0.038389,0.162277,13.25745,
36,44.79402,38.98299,0.217796,0.045179,0.098865,0.186863,13.43904,
38,44.78331,38.8131,0.237312,0.026659,0.077609,0.232244,13.37895,
40,44.80109,38.96035,0.198868,0.06726,0.083434,0.091568,13.53539,
42,44.61396,39.06524,0.224266,-0.014595,0.113174,0.1909,13.55052,
44,44.44032,38.70343,0.280438,0.052079,0.080648,0.105899,13.64765,
46,44.77459,38.92497,0.193205,0.024044,0.052493,0.251728,13.59279,
48,44.65938,38.7697,0.243165,-0.012126,0.089621,0.147739,13.70795,
50,44.60175,38.65429,0.21947,-0.001287,0.039058,0.179667,13.63005,
52,44.23045,38.44373,0.166937,0.029584,0.099916,0.250114,13.62012,
54,44.39399,38.56713,0.226527,-0.004273,0.112903,0.207964,13.61305,
56,44.57397,38.85526,0.195807,0.041382,0.10198,0.089089,13.7512,
58,44.64239,38.83067,0.172848,0.09158,0.034648,0.16075,13.583,
60,44.63001,38.71278,0.234518,0.007997,0.081714,0.159186,13.7689,
62,44.88637,38.94685,0.218573,-0.011783,0.019941,0.258835,13.55943,
64,44.83891,39.03627,0.216084,0.028036,0.020946,0.162067,13.57216,
66,44.94297,39.20171,0.165694,0.0098,0.057502,0.177973,13.23891,
68,45.1317,38.99303,0.244989,0.018852,0.0472,0.18245,13.32764,
70,45.09433,38.87852,0.156774,0.042736,0.181122,0.200794,13.09232,
72,45.18794,38.93247,0.251482,0.038709,0.065387,0.193274,13.45631,
74,45.43468,39.08827,0.192904,-0.00685,0.087952,0.227759,12.96523,
76,45.2898,39.04348,0.192674,0.051745,0.058638,0.192394,12.85996,
78,45.35541,38.97815,0.195957,0.021307,0.031994,0.234002,12.73004,
80,45.22465,38.84723,0.241829,-0.000079,0.115124,0.198263,12.61097,
82,45.76419,39.11399,0.221814,0.027425,0.076193,0.198738,12.55919,
84,45.66704,38.96571,0.21372,0.032859,0.081045,0.187433,12.7252,
86,46.02281,39.43588,0.224939,0.012556,0.038502,0.203078,12.70965,
88,45.77473,39.36527,0.183939,0.058032,0.090919,0.202818,12.37746,
90,45.46612,38.88184,0.19498,0.009594,0.050415,0.154171,12.49697,
92,45.85231,39.20326,0.220402,0.02931,0.029165,0.167131,12.53199,
94,45.76646,39.0491,0.196929,0.021483,0.102818,0.140518,12.46255,
96,45.86977,39.19112,0.234775,0.025486,0.052178,0.163865,12.15324,
98,45.718,39.11545,0.194368,0.006417,0.030444,0.18625,12.34743,
100,45.64473,39.15931,0.225708,0.051988,0.071229,0.186307,12.28756,
