Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,45.41862,39.7813,0.237136,0.264479,13.97764,0.320828,
1.99999999999999,45.6484,39.59998,0.213059,0.16853,14.05086,0.319174,
4,45.61462,39.62908,0.256956,0.172084,14.05214,0.275128,
6,45.51357,39.63237,0.248624,0.255542,14.03818,0.31172,
7.99999999999999,45.62566,39.56458,0.191495,0.182367,14.10768,0.328225,
10,45.80284,39.45491,0.305487,0.141793,14.00394,0.291027,
12,45.73586,39.55831,0.228448,0.203891,13.98596,0.287531,
14,45.51683,39.68824,0.247653,0.242346,13.93699,0.367944,
16,45.64309,39.59843,0.232755,0.173717,14.13684,0.215192,
18,45.49586,39.65477,0.218535,0.261254,14.02665,0.342933,
20,45.79563,39.46821,0.236373,0.213268,13.9972,0.289331,
22,45.66874,39.64244,0.277624,0.194463,13.90873,0.308,
24,45.55913,39.53452,0.228185,0.261478,14.07108,0.345604,
26,45.66676,39.47282,0.229784,0.175577,14.15368,0.301384,
28,45.57103,39.62178,0.250975,0.150956,14.1264,0.278849,
30,45.60712,39.73911,0.238701,0.218828,13.95333,0.242916,
32,45.52729,39.66398,0.198146,0.226844,14.10701,0.276728,
34,45.58398,39.65543,0.201112,0.205952,14.11877,0.234753,
36,45.65435,39.40591,0.226949,0.223467,14.25072,0.238609,
38,45.52639,39.63993,0.219692,0.261036,14.07986,0.273099,
40,45.60019,39.49632,0.299168,0.199277,14.05962,0.345441,
42,45.55205,39.67446,0.20526,0.208481,14.07228,0.287475,
44,45.46189,39.63303,0.282865,0.277878,14.06038,0.283941,
46,45.48545,39.66434,0.233116,0.167582,14.13194,0.317572,
48,45.4158,39.73686,0.244386,0.156251,14.13005,0.316658,
50,45.47232,39.5619,0.248362,0.269186,14.12412,0.324104,
52,45.69532,39.49805,0.217191,0.181939,14.06293,0.344561,
54,45.51431,39.57609,0.231713,0.20715,14.15882,0.311921,
56,45.5267,39.35636,0.208291,0.289551,14.35698,0.262131,
58,45.54554,39.46292,0.192956,0.232392,14.29882,0.267372,
60,45.50778,39.64038,0.252587,0.203683,14.07629,0.319271,
62,45.59533,39.65287,0.19935,0.157223,14.08284,0.312383,
64,45.64033,39.62909,0.225431,0.187695,13.99945,0.318002,
66,45.51126,39.66575,0.188935,0.230419,14.10997,0.293668,
68,45.5444,39.68007,0.244429,0.164099,14.12438,0.242638,
70,45.61273,39.45623,0.236112,0.097414,14.23004,0.367472,
72,45.29703,39.5931,0.261953,0.269103,14.26266,0.316168,
74,45.36115,39.69976,0.204905,0.217034,14.2309,0.286265,
76.0000000000001,45.41215,39.64967,0.184452,0.209117,14.2114,0.333205,
78,45.37336,39.61194,0.194819,0.17979,14.3295,0.310586,
80,45.30304,39.58089,0.249231,0.255443,14.2747,0.336702,
82,45.25515,39.47625,0.245456,0.245716,14.44163,0.335788,
84,45.57938,39.41992,0.217966,0.125045,14.29241,0.365295,
86,45.30935,39.51595,0.252232,0.152601,14.49917,0.270697,
88,45.24067,39.52393,0.235537,0.228497,14.49198,0.27939,
90,45.10767,39.66493,0.20633,0.20707,14.44148,0.372505,
92,45.18841,39.41966,0.218428,0.253145,14.61135,0.309012,
94,45.02582,39.37759,0.250409,0.238645,14.70732,0.400235,
96,44.87492,39.64167,0.250627,0.224073,14.68851,0.320199,
98,44.85699,39.51432,0.2004,0.2577,14.92443,0.246149,
100,44.86288,39.55658,0.198325,0.212884,14.94091,0.228424,
102,44.68409,39.33742,0.239548,0.201385,15.27046,0.267093,
104,44.35708,39.42301,0.238264,0.194446,15.53918,0.248017,
106,44.21729,39.27337,0.325167,0.224748,15.65111,0.30831,
108,44.03838,39.44056,0.20601,0.189721,15.84653,0.278794,
110,43.61068,39.16848,0.270649,0.206051,16.40822,0.335923,
112,43.57941,39.21172,0.28372,0.313401,16.36078,0.250966,
114,43.30676,39.13244,0.229628,0.263558,16.83635,0.23127,
116,43.2099,39.05563,0.288072,0.263844,16.9712,0.211354,
118,42.6633,39.08353,0.305444,0.217584,17.39241,0.337748,
120,42.56464,39.04962,0.32946,0.198962,17.6537,0.203633,
122,42.17089,39.15215,0.360125,0.252047,17.79897,0.265819,
124,41.91195,38.94048,0.344241,0.289105,18.12764,0.386593,
126,41.84841,39.01678,0.320601,0.318172,18.24677,0.249274,
128,41.40716,39.1776,0.440556,0.143012,18.54979,0.281871,
130,15.7761,57.20845,10.18301,0.250842,16.49403,0.087563,
132,8.58909,62.28434,13.5907,0.260055,15.27581,0,
134,8.690918,62.22352,13.51148,0.19912,15.29764,0.077324,
136,8.859815,62.61113,13.2633,0.278056,14.8909,0.096803,
