Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,Ti Ox%,K Ox%,Cr Ox%,
0,7.128607,48.46068,10.06133,0.187387,11.42097,-0.006821,2.305493,0.343577,-0.030861,
0.500000000000003,6.998053,48.34726,10.02414,0.190132,11.30037,-0.020979,2.231973,0.382578,-0.008051,
0.999999999999996,6.832963,48.32112,9.974408,0.232261,11.2434,0.069289,2.275116,0.365589,-0.014096,
1.5,6.91983,48.7156,9.902513,0.189543,11.35753,0.110121,2.24262,0.368783,-0.004902,
2,6.809345,48.418,9.791059,0.188935,11.12489,-0.044494,2.225307,0.343378,-0.041669,
2.5,6.648051,48.5654,9.738719,0.123847,11.20781,-0.015806,2.178682,0.40021,0.070263,
3,6.804313,48.30259,9.672002,0.164898,10.7779,0.026318,2.139204,0.396983,0.038788,
3.5,7.001501,48.14057,9.508145,0.111256,10.53646,-0.01853,2.051022,0.457587,0.046999,
4,7.5757,48.13166,9.348347,0.081245,9.828537,0.060156,1.955022,0.410069,0.065156,
4.5,10.23585,48.26446,9.550534,0.139359,9.480456,0.08164,1.820817,0.356774,0.115316,
5,17.76628,49.98731,9.234719,0.262485,10.37731,0.031495,1.609221,0.191752,0.239563,
5.5,24.69184,52.61752,5.368654,0.116226,11.12647,0.054835,0.799395,0.118194,0.444458,
6,26.8451,53.29134,3.974879,0.23541,11.34694,0.132513,0.604103,0.033474,0.42766,
6.5,28.02077,53.37186,3.176477,0.280804,11.43501,0.130418,0.323126,0.000739,0.56571,
7,28.16061,53.84292,3.01338,0.285688,11.1418,0.025584,0.362617,-0.049256,0.588203,
7.5,28.53878,53.3863,2.72476,0.238127,11.04843,-0.026866,0.320965,-0.00669,0.497606,
8,29.08846,54.05091,2.493777,0.268109,11.086,0.059193,0.367789,-0.008286,0.534302,
8.49999999999999,29.34467,54.23834,2.346345,0.194736,10.88996,0.063708,0.327211,0.019427,0.513714,
9,29.704,54.34803,2.186531,0.254608,10.44369,0.031156,0.302328,0.015262,0.588627,
9.5,30.04065,54.7986,2.036291,0.211259,10.06449,0.045117,0.332625,0.009834,0.601042,
10,30.21391,54.58285,1.954236,0.1981,9.863031,0.047242,0.267209,0.042383,0.595766,
10.5,30.36169,54.89256,1.957405,0.30466,10.09525,0.212566,0.307306,-0.022388,0.60615,
11,30.51484,54.58992,1.939906,0.236282,9.806532,0.025976,0.323073,0.048062,0.625424,
11.5,30.39147,54.8284,1.910646,0.104659,9.6451,0.0127,0.335706,-0.002463,0.570094,
12,30.60465,54.81977,2.051572,0.139968,9.72764,0.083946,0.204265,-0.018724,0.725557,
12.5,30.59075,54.94337,1.960259,0.192028,9.774676,0.057511,0.294602,-0.033672,0.646977,
13,30.34553,54.51389,1.939774,0.219156,9.583179,-0.003582,0.305099,-0.043234,0.628405,
13.5,30.68987,54.95856,1.875826,0.189731,9.663114,0.0567,0.289051,0.009988,0.643982,
14,30.76661,54.83374,1.804851,0.245261,9.589813,0.141461,0.332369,0.010764,0.615167,
14.5,30.96318,54.80107,1.826712,0.224948,9.62422,0.119096,0.272131,0.005397,0.568811,
15,30.97532,55.1988,1.853778,0.232433,9.427402,0.079669,0.284263,-0.010535,0.570313,
15.5,30.83971,54.88409,1.809044,0.269142,9.457237,0.146326,0.345432,0.005921,0.512215,
16,30.7859,55.23233,1.750586,0.149843,9.586917,0.117109,0.312206,-0.036318,0.580292,
16.5,30.85981,55.24499,1.829954,0.227967,9.665112,0.118363,0.279075,0.036563,0.529393,
17,30.84934,55.1399,1.832482,0.269426,9.726043,0.069286,0.220594,0.030423,0.627961,
17.5,30.37814,54.94057,1.883393,0.19023,9.828521,-0.008972,0.244269,-0.008349,0.53281,
18,30.09112,54.46256,2.030435,0.268333,10.11216,0.057513,0.23099,0.008807,0.453429,
18.5,29.78237,54.68819,2.237267,0.277649,10.67112,0.002308,0.314578,0.008184,0.583291,
19,29.65771,54.33735,2.208405,0.181555,10.96933,0.061657,0.334421,0.022293,0.467045,
19.5,29.44128,54.37825,2.226293,0.273419,11.09579,0.0134,0.30702,0.008254,0.468446,
20,29.58551,54.62527,2.254837,0.214861,11.26103,0.098291,0.3194,-0.011168,0.537671,
20.5,29.55223,54.36303,2.193323,0.302987,11.18773,0.059234,0.248007,-0.004911,0.466135,
21,29.43188,54.80971,2.192661,0.25409,10.9921,0.11768,0.431876,0.001484,0.390023,
21.5,29.62796,54.63977,2.23496,0.193665,11.00705,0.098097,0.300249,0.007504,0.467627,
22,29.491,54.51984,2.19333,0.27709,11.01567,0.052512,0.351464,0.00345,0.471043,
22.5,29.45537,54.86902,2.205893,0.197259,11.28791,0.092504,0.29182,0.025854,0.510467,
23,29.62002,54.38116,2.192415,0.205758,11.11141,0.121117,0.310737,0.005791,0.487177,
23.5,29.5889,54.73142,2.168988,0.290372,11.16788,0.000588,0.315495,0.033543,0.462559,
24,29.35865,54.51415,2.259247,0.168692,10.89691,0.066636,0.294556,0.023883,0.54203,
24.5,29.40276,54.8762,2.183814,0.232241,11.06136,0.009572,0.282408,-0.022479,0.476759,
25,29.46349,54.54557,2.095468,0.236024,11.12417,0.052755,0.317974,0.010576,0.495779,
25.5,29.28109,54.3467,2.17904,0.274177,11.05748,0.021356,0.31976,-0.001573,0.415427,
26,29.54605,54.50953,2.163299,0.263786,11.1845,-0.000595,0.297108,-0.011134,0.504613,
26.5,29.49789,54.63646,2.229188,0.25773,11.11759,0.034322,0.31756,0.015464,0.456088,
27,29.61581,54.53109,2.125391,0.170609,11.06497,0.053555,0.275901,0.019284,0.525215,
27.5,29.51221,54.51869,2.186603,0.192748,11.11339,0.104737,0.380895,0.004669,0.581262,
28,29.53494,54.73578,2.169098,0.219785,11.05853,0.056123,0.293316,-0.029201,0.568008,
28.5,29.66284,54.49823,2.187889,0.178333,11.16967,0.080064,0.266965,-0.018023,0.494304,
29,29.66126,54.60353,2.156794,0.200989,10.96006,0.110885,0.304594,0.007253,0.566341,
29.5,29.59109,54.79823,2.14457,0.268039,10.84698,-0.024894,0.262066,0.012768,0.518199,
30,29.49348,54.72894,2.171963,0.222988,11.0516,0.032836,0.323736,0.030374,0.481566,
30.5,29.64155,54.83586,2.131042,0.292247,11.12438,0.120077,0.345784,-0.006684,0.473554,
31,29.59761,54.44849,2.126836,0.199279,11.02495,0.05407,0.311702,-0.031013,0.570799,
31.5,29.88371,54.83751,2.170737,0.229997,10.92887,0.075889,0.260898,-0.021535,0.482595,
32,29.63216,54.619,2.194939,0.229848,10.88802,0.071248,0.343444,0.027604,0.523142,
32.5,29.35365,54.45732,2.156149,0.26889,10.95187,0.122868,0.342144,0.043736,0.47589,
33,29.60443,54.64435,2.18478,0.219948,11.13778,-0.034201,0.241847,0.014624,0.497346,
33.5,29.69501,54.67439,2.209034,0.241632,10.98663,0.132974,0.294091,-0.019465,0.448176,
34,29.57612,54.63522,2.149151,0.23255,10.88851,0.060085,0.333884,-0.040842,0.482273,
34.5,29.70892,54.69278,2.157376,0.23663,11.04444,0.02325,0.30959,0.017638,0.487227,
35,29.49069,54.52272,2.195596,0.200055,11.12564,0.021946,0.28625,-0.000378,0.451683,
35.5,29.52557,54.62988,2.124799,0.222572,11.21203,0.084562,0.297019,0.003461,0.47459,
36,29.66032,54.60923,2.184975,0.258195,11.04389,0.038761,0.270326,-0.018305,0.418431,
36.5,29.49749,54.61252,2.189759,0.310431,11.01156,0.093482,0.321344,-0.030662,0.513386,
37,29.55259,54.68059,2.144923,0.305587,11.05674,0.030679,0.252997,-0.010222,0.500513,
37.5,29.47985,54.67182,2.247724,0.237098,11.08075,-0.012029,0.254886,0.032704,0.545053,
38,29.54841,54.60815,2.197405,0.204414,11.22659,0.050961,0.358986,-0.011698,0.56321,
38.5,29.38726,54.72579,2.259459,0.158955,10.86204,0.106519,0.340782,-0.000593,0.57044,
39,29.40705,54.56353,2.235113,0.232135,11.09051,0.069102,0.351867,0.002992,0.52948,
39.5,29.71455,54.66514,2.235882,0.145887,11.14602,0.200792,0.306025,0.023933,0.632982,
40,29.5582,54.62147,2.214954,0.213708,11.11231,0.026927,0.261874,0.050953,0.425036,
40.5,29.44953,54.51263,2.230672,0.299056,11.15223,0.161253,0.282575,0.021652,0.492976,
41,29.57762,54.76638,2.320482,0.190835,10.91368,-0.021625,0.242436,0.000237,0.476692,
41.5,29.38542,54.95697,2.235734,0.296079,10.85526,0.07252,0.330342,0.012831,0.481434,
42,29.43758,54.56883,2.229621,0.253568,11.0198,0.072564,0.336955,0.01137,0.534921,
42.5,29.53998,54.34616,2.256798,0.249965,11.19889,0.059194,0.359522,-0.029409,0.576953,
43,29.5482,54.65667,2.205161,0.203277,11.26712,0.06018,0.296916,-0.011018,0.505327,
43.5,29.52582,54.62312,2.208113,0.245636,10.94583,0.060871,0.3682,-0.013705,0.515148,
44,29.67291,55.01475,2.265817,0.209387,11.30212,0.050993,0.331392,0.007896,0.556619,
44.5,29.64795,54.50999,2.242956,0.249011,11.05542,0.096674,0.346136,-0.032505,0.580982,
45,29.45651,54.8467,2.231578,0.21204,10.97604,0.031201,0.258807,-0.008751,0.435913,
45.5,29.4841,54.81305,2.293993,0.268037,11.04453,0.078738,0.283098,-0.027668,0.519099,
46,29.5513,54.77732,2.307339,0.229506,11.03308,0.047176,0.256268,0.023829,0.580834,
46.5,29.63434,54.59912,2.166052,0.249532,11.11973,0.137518,0.353218,-0.016938,0.433259,
47,29.62945,54.68432,2.253319,0.323594,10.86994,0.112969,0.195056,-0.00661,0.431433,
47.5,29.61462,54.50253,2.184965,0.324208,10.99252,0.014126,0.327953,-0.00699,0.497955,
48,29.29988,54.59533,2.288037,0.204751,10.96646,0.165897,0.38186,-0.039322,0.589554,
48.5,29.41683,54.71315,2.257952,0.279372,11.25925,0.041745,0.281771,0.004132,0.469046,
