Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,Ti Ox%,Cr Ox%,
0,7.726738,45.51567,9.153416,0.181926,11.25679,0.042809,1.825364,-0.019504,
0.99999999999999,11.26257,45.64707,7.674326,0.16667,10.76459,-0.008664,1.418586,0.144515,
1.99999999999999,22.72554,50.14675,4.991193,0.198925,11.03011,0.095558,0.739974,0.44058,
2.99999999999998,27.48289,52.17459,2.922452,0.265359,11.58335,0.087858,0.399121,0.501356,
3.99999999999997,28.10613,53.0119,2.782913,0.240819,11.32263,0.051851,0.428906,0.479584,
4.99999999999997,28.46115,53.39195,2.642967,0.298628,11.15637,0.1365,0.440824,0.50682,
6.00000000000003,28.49343,53.20941,2.609866,0.181142,11.21568,0.132227,0.330915,0.52079,
7.00000000000002,28.48937,53.4514,2.576134,0.192976,11.19258,0.141115,0.264585,0.53102,
8.00000000000002,28.43786,53.35282,2.584142,0.258595,11.29985,0.077727,0.305144,0.461095,
9.00000000000001,28.75327,53.42567,2.531727,0.303842,11.09501,0.050395,0.362559,0.503543,
10,28.691,53.56079,2.474134,0.353719,11.03423,0.052254,0.394882,0.488699,
11,28.91328,53.39326,2.351707,0.26092,11.04798,0.077788,0.349998,0.572989,
12,28.92044,53.4339,2.281379,0.319664,11.04563,0.114226,0.39206,0.541026,
13,29.00036,53.47995,2.336209,0.194524,10.98155,0.082061,0.290257,0.597915,
14,28.74753,53.36525,2.402438,0.172024,10.97819,0.076888,0.308307,0.582923,
15,29.05549,53.64916,2.380373,0.218959,11.02214,0.058965,0.343318,0.535786,
16,28.97286,53.49673,2.344357,0.229363,10.88686,0.161677,0.305601,0.573969,
17,29.04068,53.75635,2.338833,0.243624,11.10781,0.144167,0.273249,0.524922,
18,29.01312,53.58279,2.295129,0.249513,11.16962,0.157642,0.314743,0.531687,
19,29.05618,53.58463,2.255249,0.203999,10.86746,0.13267,0.334731,0.517991,
20,29.1296,53.79789,2.174623,0.306855,10.99529,0.112391,0.247265,0.493174,
21,29.10639,53.90961,2.127358,0.21584,11.12145,0.086133,0.29049,0.459488,
22,29.07969,53.83249,2.166365,0.296252,10.87937,0.067287,0.354403,0.490747,
23,29.12802,53.71759,2.166153,0.214558,11.00757,0.083077,0.365767,0.565978,
24,29.19598,53.9159,2.197043,0.23653,11.06571,-0.012433,0.360598,0.533877,
25,28.9635,53.81394,2.179983,0.30073,11.05857,0.085069,0.253092,0.465089,
26,29.38162,54.11864,2.207746,0.229765,10.94459,0.075901,0.353146,0.576499,
27,29.25121,53.71733,2.280939,0.232084,11.00171,0.081893,0.320674,0.554465,
28,29.16297,53.84085,2.235365,0.218233,11.13426,-0.035247,0.397061,0.526855,
29,29.09476,53.72141,2.200192,0.273659,11.01167,0.060727,0.342324,0.497206,
30,29.10475,53.90382,2.084551,0.23544,10.92091,0.111749,0.296667,0.513529,
31,29.2575,53.68021,2.162324,0.242596,11.19098,0.103576,0.315025,0.507951,
32,29.23008,53.84424,2.147158,0.250433,10.93982,0.126294,0.339352,0.477598,
33,29.43442,53.78957,2.134915,0.251247,11.1745,0.011863,0.330355,0.567933,
34,29.15063,53.76908,2.161184,0.229145,10.92241,0.127202,0.323298,0.518097,
35,29.20364,53.81051,2.181681,0.190474,11.02216,0.084497,0.348074,0.593049,
36,28.95206,53.62149,2.138117,0.181999,11.11284,0.049274,0.323757,0.546796,
37,29.15388,53.7471,2.203521,0.217135,10.87477,0.002539,0.330413,0.444496,
38,28.99395,53.99091,2.212439,0.159487,11.15401,0.068577,0.294604,0.528032,
39,29.03679,53.783,2.253874,0.266855,11.00664,-0.001782,0.35687,0.528072,
40,29.07443,53.7243,2.215004,0.257653,11.10075,0.140007,0.346132,0.560567,
41,28.91586,53.60333,2.249043,0.18593,11.10018,0.064131,0.386896,0.554083,
42,28.95403,53.625,2.312011,0.205029,10.94679,0.038845,0.297785,0.596599,
43,29.09852,53.7029,2.31526,0.297634,11.02284,-0.019678,0.256731,0.543164,
44,29.04963,53.69355,2.294316,0.305455,11.04365,0.036385,0.257287,0.556377,
45,29.05135,53.36694,2.409823,0.239513,10.93536,0.008142,0.330742,0.571967,
46,29.12448,53.86993,2.469316,0.262362,11.0583,0.054197,0.350727,0.594954,
47,29.18096,53.79946,2.404781,0.289208,10.94894,0.076386,0.398546,0.528084,
48,28.98738,53.87846,2.419004,0.274281,10.85721,-0.0201,0.343103,0.592386,
49,28.81847,53.66346,2.500066,0.200016,10.98252,0.066553,0.281058,0.539343,
50,28.73999,53.46439,2.657871,0.242143,11.09512,0.032013,0.318433,0.659822,
51,28.75988,53.65138,2.650679,0.219079,11.06996,0.117215,0.412503,0.621393,
52,28.72291,53.69102,2.423532,0.214949,11.10685,0.096351,0.319273,0.57457,
53,28.86695,53.56158,2.403914,0.289138,10.9734,0.129746,0.310972,0.506031,
54,29.20634,53.81512,2.385056,0.302069,11.00819,0.062846,0.327006,0.578528,
55,28.85174,53.56827,2.414867,0.307542,10.99379,0.147737,0.374112,0.655131,
56,28.8042,53.67659,2.482563,0.26338,10.98527,-0.002288,0.318525,0.639156,
57,28.93324,53.70044,2.463515,0.250637,10.83923,0.126545,0.317573,0.589308,
58,28.96834,53.74368,2.320709,0.237117,10.80742,0.045357,0.356298,0.517467,
