Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,
0,7.09513,53.77603,10.13763,0.183344,11.69499,
2.00000000000001,9.125558,52.95001,9.315207,0.118548,12.46195,
4.00000000000001,42.24553,46.92157,0.901627,0.307531,20.30872,
6,43.77867,41.8963,0.328783,0.229858,20.08124,
8,43.545,40.98171,0.291401,0.245716,19.6345,
10,43.67322,41.18884,0.252523,0.28489,18.91891,
12,43.90897,41.07745,0.231641,0.305266,18.24834,
14,44.59561,41.06667,0.235068,0.215804,17.70163,
16,44.78911,40.85061,0.254871,0.242232,17.18984,
18,45.11604,40.9235,0.24791,0.18789,16.69319,
20,45.46035,40.83107,0.219907,0.285704,16.29801,
22,45.46355,40.78149,0.28201,0.186869,15.96603,
24,45.64659,40.78536,0.200471,0.190211,15.63056,
26,46.10442,41.07475,0.224923,0.223435,15.45607,
28,45.92034,40.68441,0.229778,0.229243,15.07124,
30,46.17973,41.06525,0.202292,0.221731,14.66759,
32,46.61256,40.84266,0.195289,0.201232,14.76966,
34,46.58049,40.6825,0.186184,0.187714,14.46889,
36,46.63955,40.85096,0.19536,0.251515,14.26846,
38,46.80636,40.86728,0.19959,0.174769,14.05058,
40,46.86259,40.73171,0.254858,0.258914,13.60238,
42,46.59097,40.76221,0.189921,0.228266,13.45837,
44,46.79393,40.67949,0.192408,0.239594,13.13966,
46,47.1432,40.64562,0.174071,0.163654,13.05937,
48,46.99862,40.77863,0.212079,0.172677,12.95503,
50,47.18642,40.79186,0.216292,0.163544,12.85127,
52,47.49347,40.82191,0.261612,0.209405,12.84461,
54,47.58003,40.74896,0.23261,0.225428,12.83108,
56,47.23001,40.72651,0.234143,0.144562,12.65057,
58,47.2789,40.61709,0.176148,0.194872,12.34991,
60,47.60927,40.88908,0.218862,0.2284,12.19242,
62,47.49394,40.45063,0.252479,0.150582,12.40883,
64,47.50253,40.67836,0.158514,0.096022,12.06981,
66,47.56704,40.69353,0.187544,0.102925,12.05781,
68,47.57737,40.66561,0.195205,0.199328,11.84184,
70,47.85136,40.73473,0.192896,0.183146,11.89604,
72,47.68911,40.77997,0.2324,0.191719,11.65006,
74,47.88414,40.74792,0.199865,0.139622,11.73789,
76,47.61682,40.34365,0.143119,0.117225,11.52625,
78,47.93798,40.59583,0.157194,0.111862,11.4989,
80,48.20424,40.95935,0.241867,0.103861,11.46667,
82.0000000000001,47.84619,40.6511,0.16188,0.199894,11.49037,
84,47.89023,40.46659,0.169219,0.206372,11.45251,
86,47.86594,40.58815,0.180522,0.1685,11.54516,
88,47.48899,40.41041,0.18069,0.171305,11.3566,
90.0000000000001,47.77979,40.54634,0.225473,0.182259,11.28597,
92,47.89573,40.40211,0.184128,0.19869,11.29154,
94,48.12861,40.29983,0.191882,0.252236,11.39418,
96,48.0281,40.35366,0.222896,0.187776,11.34102,
98,47.91338,40.57243,0.20467,0.135768,11.22627,
100,48.1705,40.50486,0.210525,0.170342,11.27914,
102,47.92529,40.449,0.179767,0.224725,11.2304,
104,48.00229,40.47985,0.186692,0.24538,11.04503,
106,48.10282,40.60598,0.175397,0.114533,11.23593,
108,47.88593,40.4264,0.182337,0.213602,11.16752,
110,47.91365,40.50368,0.194884,0.127986,11.31746,
112,47.84221,40.73689,0.237077,0.173039,11.1795,
114,47.89948,40.60658,0.215552,0.19091,11.19666,
116,47.89125,40.39894,0.190044,0.140141,11.08208,
118,47.9575,40.45294,0.223046,0.197762,11.21828,
120,47.88421,40.42615,0.223379,0.169472,10.94806,
122,48.19262,40.3147,0.242187,0.133221,11.10321,
124,47.58358,40.47332,0.187883,0.131258,11.10232,
126,48.05363,40.44112,0.178116,0.109497,11.13758,
128,47.85928,40.47496,0.18398,0.16366,11.12627,
130,47.94496,40.79002,0.207302,0.1847,11.12363,
132,47.86234,40.19789,0.145562,0.144176,11.00515,
134,48.00533,40.46214,0.17605,0.169895,11.11406,
136,47.82665,40.40822,0.210657,0.095142,11.07362,
138,47.73634,40.57886,0.157797,0.134547,11.29713,
140,47.80368,40.35007,0.198975,0.183503,10.93276,
142,47.75098,40.31139,0.17045,0.142211,11.00659,
144,47.80164,40.50443,0.218782,0.149479,11.07895,
146,47.80198,40.25172,0.219068,0.13767,11.12674,
148,47.86181,40.37099,0.184222,0.208439,11.01106,
150,47.77318,40.11568,0.198644,0.139825,11.08637,
152,48.03118,40.24712,0.204756,0.132816,11.26354,
154,47.60065,40.25948,0.184737,0.079982,11.18996,
156,47.68002,40.32946,0.186277,0.177135,11.02815,
158,47.79449,40.24919,0.204834,0.213111,11.02051,
160,47.91233,40.39868,0.193493,0.138985,11.04906,
162,47.82822,40.40002,0.173294,0.174826,11.17828,
164,47.75217,39.99979,0.140847,0.158699,11.08994,
166,47.78856,40.46029,0.228794,0.12693,11.14575,
168,47.86077,40.27918,0.186989,0.183002,10.81273,
170,47.61673,40.20469,0.183406,0.13543,11.07245,
172,47.94052,40.36577,0.262418,0.175483,11.05798,
174,47.7434,40.14371,0.175058,0.250925,11.27878,
176,47.56295,40.16566,0.154706,0.177435,11.18481,
178,47.74702,40.31747,0.239453,0.183246,11.03061,
180,47.21728,40.01389,0.207045,0.212467,10.91282,
182,45.02535,40.00822,0.442761,0.369946,11.0621,
184,46.96671,40.29439,0.247828,0.157965,10.82402,
186,47.77716,40.17018,0.186687,0.150426,11.22991,
188,47.29249,40.0969,0.213673,0.12537,10.91509,
190,47.61581,40.07358,0.20095,0.216233,11.03869,
192,47.93003,40.33726,0.188368,0.137251,11.18993,
194,47.73596,39.8556,0.221103,0.156204,11.03502,
196,47.6534,40.32103,0.227633,0.206602,11.13922,
198,47.60684,39.91252,0.181981,0.124389,11.17233,
200,47.59415,39.89689,0.19865,0.191443,11.07255,
202,47.35903,40.08812,0.2215,0.215904,10.91765,
204,47.55923,40.0195,0.192286,0.136936,11.07636,
206,47.4073,40.05469,0.238799,0.258541,10.88049,
208,47.31777,40.10794,0.173755,0.139966,11.0408,
210,47.17745,39.79661,0.230469,0.191125,10.81625,
212,47.33579,40.10461,0.226131,0.131125,11.20432,
214,47.32546,40.15815,0.146498,0.193399,11.04269,
216,47.3222,40.0729,0.145304,0.134807,10.96952,
218,47.20596,39.87553,0.167408,0.088968,11.08466,
220,47.6419,39.81379,0.215337,0.173866,11.23856,
222,47.50788,40.31873,0.156041,0.158892,10.9174,
224,47.48889,39.74477,0.212211,0.117492,10.98647,
226,47.5289,39.72079,0.16225,0.216712,11.13024,
228,47.20633,40.28183,0.183983,0.194144,11.10851,
230,47.45742,40.06179,0.161746,0.177519,10.93694,
232,47.34402,39.80086,0.152672,0.102135,10.88617,
234,47.47281,40.13221,0.188583,0.169639,10.91696,
236,47.40607,40.01122,0.190308,0.078224,11.05294,
238,47.40169,39.92734,0.17896,0.218928,11.10624,
240,47.18745,39.87053,0.223009,0.163679,11.11487,
242,47.20824,40.34566,0.196796,0.167513,10.91539,
244,47.17599,40.13176,0.165728,0.109292,11.02437,
246,47.4548,39.95804,0.211718,0.177603,11.09739,
248,47.24657,39.93605,0.20727,0.122722,11.21221,
250,47.39874,39.98281,0.2093,0.11238,11.11092,
252,47.26476,39.90042,0.196654,0.143236,10.81955,
254,47.00171,39.97514,0.197486,0.13478,10.77066,
256,47.3017,39.89063,0.201263,0.147014,11.21336,
258,47.26499,40.08493,0.216952,0.149091,11.11746,
260,47.20092,39.49633,0.162324,0.153245,11.13027,
262,47.14486,39.72908,0.247882,0.132773,10.96784,
264,47.08021,39.72445,0.20768,0.148583,11.03605,
266,47.30488,39.68933,0.255622,0.200269,10.92543,
268,47.17532,39.91109,0.235587,0.130261,11.01186,
270,47.39347,40.14959,0.195822,0.181973,11.01334,
272,47.18948,39.7224,0.168521,0.159757,11.05628,
274,47.18999,40.00251,0.177911,0.184462,11.10193,
276,47.29746,40.24823,0.212752,0.215972,10.99596,
278,47.27037,39.80496,0.16977,0.13808,11.05464,
280,47.07174,39.67453,0.202343,0.175845,10.98968,
282,46.98814,39.6298,0.183384,0.113898,10.98253,
284,47.34731,39.83202,0.182656,0.149133,11.19749,
286,47.42789,39.96025,0.180354,0.184489,11.11654,
288,46.87701,39.83956,0.214293,0.214211,10.93722,
290,46.99559,39.93094,0.144005,0.184878,11.08981,
292,47.33702,39.42896,0.17353,0.196166,10.95967,
294,47.17955,39.62373,0.215075,0.156595,11.12097,
296,47.13258,39.58821,0.254934,0.158524,11.0877,
298,47.15536,39.54665,0.204479,0.137469,11.0169,
300,47.12869,39.74947,0.243998,0.128312,11.05619,
302,47.15309,39.82924,0.233043,0.202627,11.04086,
304,46.8878,39.58576,0.177447,0.183974,11.23126,
306,47.03622,39.56271,0.186851,0.179989,10.95283,
308,47.03047,39.85782,0.218048,0.194792,11.07978,
310,47.19799,39.53542,0.193232,0.176735,11.00259,
312,46.90718,39.21203,0.19625,0.151391,11.06277,
314,46.69134,39.338,0.253113,0.232633,10.94211,
316,47.27817,39.69765,0.193251,0.136242,11.02421,
318,47.03685,39.79667,0.18172,0.175649,11.13491,
320,47.13086,39.89646,0.16041,0.187156,10.92912,
322,46.91635,39.74034,0.150375,0.196953,10.9702,
324,46.55122,39.25089,0.216591,0.155915,11.15006,
326,46.82398,39.40219,0.171229,0.132622,11.11331,
328,46.69955,39.52776,0.175179,0.17871,11.05497,
330,46.61789,39.47155,0.239451,0.228573,11.15984,
332,46.79733,39.45596,0.178216,0.140294,11.2144,
334,46.96588,39.54851,0.231414,0.180709,11.03494,
336,46.80474,39.63735,0.194618,0.174857,10.97135,
338,46.82552,39.41411,0.183893,0.199296,11.06566,
340,47.10471,39.62336,0.274038,0.132428,11.08391,
342,46.48556,39.55622,0.214525,0.153772,11.08025,
344,46.74157,39.53133,0.202,0.199101,11.12976,
346,46.71867,39.26068,0.14766,0.198071,10.86727,
348,46.99453,39.4929,0.201579,0.09157,11.15948,
350,46.60841,39.51548,0.192225,0.179959,11.07751,
352,46.90052,39.60372,0.215825,0.147988,10.85291,
354,46.71556,39.8471,0.201525,0.227745,11.00421,
356,46.93096,39.29421,0.194112,0.152098,11.00362,
358,46.7264,39.32707,0.199846,0.165185,11.04798,
360,46.8909,39.29581,0.183356,0.104931,10.96838,
362,46.49444,39.40475,0.155583,0.18166,10.93424,
364,46.83228,39.57895,0.156244,0.128638,11.07124,
366,46.99384,39.44166,0.211092,0.179973,11.2279,
368,46.58334,39.44173,0.21566,0.244331,11.09646,
370,47.10808,39.62001,0.241326,0.148718,11.05065,
372,46.57492,39.35813,0.214028,0.15358,11.14971,
374,46.65292,39.14894,0.213193,0.156832,11.13508,
376,46.64411,39.56275,0.21134,0.117326,11.1329,
378,46.75109,39.68971,0.17781,0.186451,11.00014,
380,46.44688,39.29578,0.209964,0.179689,10.97993,
382,46.38911,39.35686,0.18159,0.156086,11.09743,
384,46.60622,39.31545,0.191327,0.16607,11.08291,
386,46.5579,39.28834,0.245089,0.153932,10.86659,
