Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,6.953267,50.83377,10.06904,0.140374,12.50047,0.122412,
2,6.614336,50.92961,10.17593,0.220299,12.31528,-0.029284,
4,6.750528,51.07529,9.893617,0.185969,12.23838,0.032796,
5.99999999999999,12.91236,50.78493,6.895836,0.195452,13.79412,0.061717,
7.99999999999999,43.1096,44.79073,0.598411,0.273449,20.06112,0.195205,
9.99999999999999,43.50249,41.33825,0.358866,0.208857,19.95256,0.227537,
12,43.97939,41.45836,0.256457,0.302917,19.16371,0.338607,
14,44.36922,41.16165,0.221673,0.2578,18.84002,0.267659,
16,44.59346,41.14059,0.233636,0.318862,18.78005,0.258331,
18,44.97268,40.91269,0.246685,0.242138,18.2988,0.323531,
20,45.03583,41.12331,0.199816,0.221859,17.94037,0.276503,
22,45.35976,41.27518,0.219714,0.248869,17.66916,0.299479,
24,45.48885,41.20816,0.21245,0.260883,17.28894,0.200045,
26,45.70481,41.18534,0.21999,0.214188,16.66238,0.249928,
28,45.84538,41.1502,0.238793,0.267793,16.34071,0.408249,
30,46.0344,41.27183,0.190386,0.232648,16.04925,0.292405,
32,46.45728,41.08039,0.218913,0.191085,15.7938,0.309643,
34,46.58772,41.16661,0.215522,0.18093,15.64205,0.324754,
36,46.73679,41.4323,0.166989,0.149935,14.9111,0.345653,
38,46.94437,41.24379,0.210815,0.18702,14.76383,0.387963,
40,47.19185,41.36536,0.234001,0.195026,14.62987,0.328315,
42,47.19677,41.27784,0.174071,0.288214,14.36767,0.361714,
44,47.55697,41.28078,0.184426,0.185118,14.27866,0.342551,
46,47.67311,41.1371,0.162899,0.164674,13.89094,0.40551,
48,47.69487,41.08378,0.175947,0.188392,13.91945,0.344704,
50,47.83702,41.2851,0.198634,0.174456,13.7587,0.397633,
52,48.02805,41.56742,0.216352,0.194717,13.4583,0.433799,
54,47.91957,41.16473,0.150129,0.192672,13.26483,0.496024,
56,48.02906,41.15173,0.234385,0.175185,13.09411,0.305833,
58,47.95157,41.32824,0.238496,0.225627,12.97355,0.322925,
60,48.14956,40.95692,0.207127,0.219946,12.77168,0.341047,
62,48.26588,41.15209,0.201127,0.160381,12.95204,0.39712,
64,48.15295,41.03552,0.180452,0.174483,12.52658,0.333276,
66,48.40643,41.07968,0.168549,0.169779,12.7527,0.513914,
68,48.21144,41.26521,0.21779,0.127896,12.53747,0.357203,
70,48.56694,40.99299,0.252478,0.240997,12.7024,0.408143,
72,48.48649,40.98161,0.197492,0.134285,12.32294,0.359895,
