Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,6.105519,14.25264,53.78066,10.63915,2.412486,0.065789,0.154346,12.5894,
2,5.921067,14.40308,53.59201,10.5168,2.587861,0.022986,0.243071,12.71312,
4,5.917833,14.59316,53.78013,10.37363,2.567752,0,0.195794,12.5717,
6,6.371731,14.60623,54.91861,9.983316,2.281152,0,0.070406,11.76855,
8.00000000000001,22.25271,6.016495,53.09859,5.880433,1.13441,0.17216,0.290177,11.15502,
10,27.84965,2.340871,54.13207,2.809405,0.452899,0.382742,0.219503,11.81285,
12,28.52173,2.482202,53.99939,2.669531,0.325023,0.553892,0.244573,11.20366,
14,29.56313,2.259949,54.4304,2.624346,0.23697,0.635481,0.203524,10.04619,
16,29.92065,2.232469,54.87379,2.494803,0.278943,0.697417,0.234295,9.267626,
18,30.27958,2.086705,54.89866,2.413288,0.252667,0.645013,0.234404,9.189682,
20,30.41386,1.992888,54.80142,2.336162,0.260645,0.717957,0.212642,9.264423,
22,29.99698,2.095644,54.79267,2.301424,0.30496,0.629152,0.193857,9.685326,
24,30.10536,2.068037,54.78679,2.256086,0.241306,0.606467,0.229644,9.706322,
26,30.07587,1.976546,54.85417,2.281579,0.26056,0.564471,0.217855,9.768951,
28,30.17027,2.014798,54.87853,2.29082,0.226781,0.660429,0.291493,9.46689,
30,30.14551,1.969139,54.95013,2.301367,0.230848,0.544249,0.318754,9.540005,
32,30.1904,2.046092,54.74971,2.265115,0.18013,0.61704,0.16903,9.782487,
34,30.39768,2.019345,54.88971,2.306327,0.26755,0.602657,0.222255,9.294456,
36,30.42426,2.02728,54.82207,2.278206,0.230396,0.674944,0.212736,9.330104,
38,30.53575,2.013072,54.85041,2.172971,0.24139,0.656134,0.141265,9.389005,
40,30.6411,1.880603,55.22226,2.098776,0.214996,0.646914,0.240772,9.054581,
42,30.78232,1.908205,55.27343,1.925752,0.258588,0.59727,0.224657,9.029783,
44,30.98595,1.777042,55.2294,1.79342,0.169982,0.710856,0.179123,9.15423,
46,30.88203,1.678428,55.27564,1.79682,0.19262,0.748146,0.199913,9.226407,
48,30.74742,1.834221,55.48899,1.977507,0.178278,0.598292,0.207547,8.967759,
50,30.54233,1.946771,54.87519,2.163684,0.280465,0.504047,0.184966,9.502563,
52,30.31597,1.795679,55.17332,2.226503,0.219979,0.530974,0.209344,9.52823,
54,30.15406,1.909049,55.03555,2.230735,0.299926,0.512561,0.231801,9.626328,
56,30.33278,1.751029,55.17717,2.184341,0.222044,0.361965,0.223502,9.747169,
58,30.069,1.805068,55.07831,2.289168,0.155127,0.43309,0.241329,9.928898,
60,29.92794,1.853835,54.84672,2.266053,0.247851,0.524366,0.262226,10.071,
62,29.84182,1.915611,54.86076,2.25603,0.301959,0.434124,0.201226,10.18848,
64,29.76366,1.839546,54.99408,2.191523,0.302616,0.401393,0.251099,10.25609,
66,29.33883,1.813933,55.853,2.177794,0.287662,0.378831,0.135743,10.0142,
68,29.63677,1.823973,54.81974,2.22759,0.242142,0.465162,0.225254,10.55936,
70,29.71932,1.875699,54.81224,2.172356,0.251356,0.469845,0.199486,10.4997,
72,29.92449,1.760849,54.62877,2.231133,0.311488,0.405669,0.232578,10.50501,
74,29.64914,1.811981,54.89078,2.197686,0.232662,0.377419,0.299044,10.54128,
76,29.72562,1.80517,54.91906,2.190817,0.177613,0.437147,0.182577,10.56199,
78,29.59345,1.769571,55.00827,2.234875,0.301305,0.306666,0.304463,10.48139,
80,29.53053,1.648377,55.2159,2.191837,0.319577,0.430281,0.200422,10.46308,
82,29.72055,1.670088,54.90624,2.215521,0.249812,0.363516,0.199156,10.67513,
84,29.64631,1.646812,55.19924,2.204811,0.278947,0.401508,0.195453,10.42692,
86,29.85144,1.736413,54.89701,2.158828,0.230425,0.299075,0.258437,10.56837,
88,29.6274,1.648207,55.06116,2.181107,0.268631,0.342161,0.257925,10.6134,
90,29.66964,1.741527,55.08439,2.22211,0.222012,0.327681,0.162209,10.57044,
92,29.47669,1.632115,55.48211,2.242743,0.18404,0.322461,0.221683,10.43816,
94,29.66743,1.706693,55.1499,2.276222,0.190419,0.332638,0.243065,10.43363,
96,29.66152,1.804621,54.78548,2.350934,0.288193,0.3095,0.20562,10.59412,
98,29.5956,1.769428,54.95982,2.218971,0.215124,0.277286,0.272488,10.6913,
100,29.67005,1.837037,54.71719,2.243099,0.272206,0.330036,0.345321,10.58507,
102,29.50761,1.886306,54.77616,2.235444,0.273079,0.400456,0.191215,10.72972,
104,29.50381,1.836743,54.7001,2.273148,0.231534,0.340759,0.2401,10.87381,
106,29.57931,1.94739,54.57415,2.299298,0.292124,0.354845,0.197133,10.75574,
108,29.29995,1.954266,54.73996,2.27997,0.337039,0.43321,0.224178,10.73142,
110,29.5521,1.93956,54.64101,2.297015,0.309833,0.485014,0.262931,10.51253,
112,29.55169,1.873402,54.57132,2.237129,0.278169,0.416967,0.25621,10.81511,
114,29.34891,1.853951,54.98998,2.214913,0.289689,0.404474,0.23092,10.66716,
116,29.45163,1.904822,54.72977,2.176873,0.288631,0.485796,0.249024,10.71346,
118,29.63818,1.905584,54.75029,2.150893,0.280192,0.462894,0.197792,10.61417,
120,29.51929,1.925469,54.81301,2.208818,0.243131,0.467203,0.20939,10.61369,
122,29.67905,1.923578,54.66551,2.224511,0.214711,0.478661,0.240056,10.57392,
124,29.49689,1.991322,54.71336,2.137981,0.271812,0.466195,0.198088,10.72434,
126,29.40342,2.017027,54.67496,2.230646,0.340298,0.462065,0.208247,10.66334,
128,29.4859,2.027162,54.51958,2.249729,0.2921,0.514142,0.230722,10.68068,
130,29.53322,1.946369,54.70102,2.297394,0.308132,0.552088,0.191766,10.47,
132,29.27746,2.110668,54.55145,2.553743,0.297853,0.461382,0.296833,10.45062,
134,29.11963,2.209211,54.52335,2.622811,0.274095,0.43905,0.218133,10.59374,
136,29.08739,2.263868,54.40781,2.621291,0.341877,0.56671,0.276371,10.4347,
138,29.15956,2.165637,54.54617,2.537673,0.285771,0.464779,0.293342,10.54708,
140,29.88583,2.196048,54.84924,2.300139,0.280773,0.393304,0.221026,9.873645,
142,29.48703,2.032354,54.82957,2.382699,0.221019,0.51001,0.235612,10.30169,
