Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,6.982841,13.81506,53.84579,10.38326,2.443136,0,0.196012,12.33392,
2,26.44917,2.434839,54.5752,2.778211,0.442282,0.124728,0.310266,12.8853,
4,28.26317,1.270679,54.97039,2.360375,0.307636,0.145279,0.216368,12.46611,
6,28.58176,1.223389,55.31016,2.293896,0.239174,0.075015,0.325301,11.95131,
8.00000000000001,28.75403,1.33456,55.06926,2.212071,0.296264,0.15783,0.250606,11.92538,
10,28.81992,1.355443,55.02114,2.246985,0.247916,0.175254,0.283795,11.84955,
12,28.71841,1.417841,55.00231,2.218056,0.208424,0.183261,0.236977,12.01471,
14,28.95607,1.333174,54.9471,2.166463,0.217764,0.183262,0.306521,11.88964,
16,28.9113,1.297868,55.18497,2.210812,0.253766,0.186228,0.235618,11.71944,
18,28.82749,1.255521,55.02832,2.209867,0.232932,0.213672,0.314728,11.91746,
20,28.95475,1.321528,54.97167,2.200968,0.217954,0.189012,0.219121,11.92501,
22,28.80958,1.342711,54.91349,2.118473,0.257796,0.141044,0.247322,12.16957,
24,28.72568,1.46296,54.90561,2.167278,0.281342,0.217168,0.264165,11.97579,
26,28.95774,1.458383,54.91806,2.147377,0.235974,0.126093,0.2248,11.93157,
28,28.84229,1.508549,54.87892,2.128387,0.206375,0.238059,0.283726,11.91369,
30,28.97125,1.520254,54.8943,2.21364,0.283435,0.208222,0.27324,11.63565,
32,29.19663,1.587183,54.64626,2.200164,0.239671,0.167826,0.204235,11.75806,
34,29.16397,1.691157,54.85397,2.199968,0.245441,0.20537,0.25835,11.38178,
36,29.02565,1.674633,54.82069,2.239641,0.332931,0.345723,0.230019,11.33072,
38,29.49531,1.540955,55.1041,2.32237,0.24197,0.333676,0.17793,10.7837,
40,29.50931,1.691777,55.02831,2.236154,0.252521,0.48649,0.224085,10.57136,
42,29.95149,1.516949,55.11045,2.223904,0.211023,0.498886,0.226547,10.26075,
44,29.81713,1.45365,55.6916,2.092318,0.193035,0.523622,0.261198,9.967448,
46,30.02629,1.516477,55.16553,2.121161,0.202573,0.495056,0.283801,10.18912,
48,29.40812,1.989152,54.9198,2.311361,0.291613,0.429917,0.269865,10.38017,
50,29.34366,2.039013,54.56182,2.418506,0.264787,0.352393,0.253161,10.76665,
52,29.15142,2.043202,54.57556,2.421469,0.382682,0.325846,0.25337,10.84645,
54,29.06777,2.066208,54.25506,2.384588,0.368415,0.408775,0.246464,11.20272,
56,28.7464,2.062443,54.35542,2.394374,0.324275,0.493888,0.20212,11.42107,
58,28.86249,1.980359,54.39502,2.383049,0.384356,0.309598,0.320084,11.36505,
60,28.87359,2.131694,54.1986,2.3908,0.376097,0.371945,0.260751,11.39653,
62,28.71736,1.957678,54.42394,2.318715,0.427379,0.321931,0.257556,11.57544,
64,28.61235,2.031007,54.45807,2.377522,0.301778,0.381708,0.23854,11.59903,
66,28.78511,2.142436,54.31811,2.364814,0.366391,0.329205,0.323235,11.37071,
68,28.87305,2.063805,54.18622,2.31909,0.311082,0.330827,0.284045,11.63188,
70,28.67395,2.129682,54.35644,2.380537,0.388164,0.361838,0.17624,11.53315,
72,28.65664,2.153953,54.16554,2.425279,0.350012,0.331741,0.232409,11.68443,
74,28.6591,1.963482,54.53445,2.430819,0.312388,0.362987,0.276654,11.46012,
76,28.72188,2.003404,54.37854,2.442734,0.342116,0.338422,0.215127,11.55778,
78,28.61488,2.08656,54.32775,2.360353,0.34897,0.320025,0.293979,11.64749,
80,28.22694,2.058439,54.85172,2.391393,0.389103,0.342198,0.251795,11.48841,
82,28.59789,2.033037,54.39917,2.42051,0.414167,0.287991,0.263365,11.58388,
84,28.56044,2.047062,54.27304,2.453245,0.380861,0.328829,0.217901,11.73862,
86,28.54051,2.180047,54.23812,2.392007,0.390296,0.365144,0.223761,11.67011,
88,28.4526,2.105037,54.19434,2.430719,0.396444,0.304235,0.310891,11.80573,
90,28.64252,1.995797,54.24945,2.432379,0.408034,0.349142,0.283699,11.63898,
92,28.58779,2.09793,54.39837,2.364908,0.303487,0.32342,0.237096,11.68701,
94,28.65513,2.059718,54.29771,2.470856,0.361199,0.296908,0.216126,11.64236,
96,28.51587,2.174256,54.47353,2.387176,0.388221,0.306047,0.216406,11.53849,
98,28.70543,1.967512,54.16396,2.381469,0.407648,0.314388,0.226279,11.83332,
100,28.43351,2.106079,54.63436,2.424202,0.404492,0.292803,0.295923,11.40863,
