Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,47.77062,40.22884,0.204018,0.183113,11.71492,0.405828,
0.578947368421056,47.69258,40.0897,0.20141,0.129057,11.61078,0.385878,
1.1578947368421,47.56779,40.01781,0.200239,0.200755,11.60509,0.343252,
1.73684210526316,47.49607,39.89743,0.218571,0.141556,11.78143,0.318288,
2.31578947368421,47.82211,40.09584,0.244858,0.179382,11.74663,0.362843,
2.89473684210527,47.84019,40.17545,0.185192,0.156111,11.61715,0.326043,
3.47368421052632,47.76836,40.20795,0.231111,0.18444,11.53436,0.399021,
4.05263157894737,47.5864,40.13412,0.202336,0.21476,11.58749,0.356611,
4.63157894736843,47.41124,39.8987,0.214866,0.152393,11.56619,0.251126,
5.21052631578948,47.84451,40.12306,0.187333,0.194186,11.72884,0.356682,
5.78947368421053,47.61146,40.25007,0.163976,0.158023,11.70704,0.290539,
6.36842105263159,47.56351,40.16299,0.264315,0.120185,11.6664,0.336115,
6.94736842105264,47.4769,40.13551,0.216463,0.073845,11.57423,0.343298,
7.52631578947369,47.82291,40.20862,0.189815,0.125796,11.50865,0.398579,
8.10526315789474,48.06939,40.01247,0.220265,0.243476,11.70773,0.261661,
8.68421052631579,47.50173,39.94856,0.171464,0.193816,11.71051,0.327383,
9.26315789473684,47.98933,40.14304,0.224505,0.227913,11.77596,0.41601,
9.84210526315788,47.83893,40.02211,0.229416,0.222897,11.60388,0.348376,
10.4210526315789,47.29593,39.95947,0.191985,0.095284,11.47363,0.219151,
11,47.44674,40.26131,0.257928,0.183851,11.64129,0.286854,
11.578947368421,47.45011,40.32293,0.205508,0.107382,11.70382,0.39703,
12.1578947368421,47.98717,40.32686,0.208989,0.123469,11.7959,0.401176,
12.7368421052632,47.72249,40.35278,0.204932,0.134593,11.68013,0.319145,
13.3157894736842,47.7464,40.11125,0.202683,0.213044,11.72663,0.327077,
13.8947368421053,47.71928,40.07467,0.231586,0.159948,11.63521,0.306213,
14.4736842105263,47.74651,40.24763,0.257525,0.198545,11.83631,0.350255,
15.0526315789474,47.65398,40.17034,0.241949,0.134148,11.86506,0.33226,
15.6315789473684,47.91777,40.00681,0.212645,0.196303,11.49635,0.390775,
16.2105263157895,47.90135,40.1584,0.211792,0.247963,11.74202,0.383797,
16.7894736842105,47.44588,39.92122,0.216753,0.180704,11.57512,0.298486,
17.3684210526316,47.70663,40.20538,0.191601,0.18049,11.5679,0.386336,
17.9473684210526,47.83516,40.08404,0.18065,0.120042,11.56236,0.404465,
18.5263157894737,47.61197,40.23672,0.197021,0.195242,11.68482,0.366826,
19.1052631578947,47.81946,40.20736,0.258886,0.173776,11.61685,0.338971,
19.6842105263158,47.47961,40.08363,0.185591,0.148061,11.58736,0.350368,
20.2631578947368,47.74134,39.81155,0.218764,0.200924,11.70393,0.308903,
20.8421052631579,47.4171,40.06986,0.230564,0.167232,11.65315,0.386772,
21.421052631579,47.7863,40.11487,0.179701,0.182729,11.65146,0.376658,
22,47.74633,39.96838,0.187034,0.228968,11.5651,0.345296,
22.5789473684211,47.46864,40.0874,0.218036,0.235516,11.53658,0.380027,
23.1578947368421,47.72287,40.02966,0.215662,0.163861,11.51447,0.328047,
23.7368421052632,47.95165,40.09818,0.231886,0.174293,11.70347,0.347178,
24.3157894736842,47.70987,40.03613,0.17757,0.13014,11.63579,0.340723,
24.8947368421053,47.86234,40.11153,0.202465,0.158947,11.65109,0.388936,
25.4736842105263,47.61351,40.18792,0.20329,0.226904,11.66436,0.308956,
26.0526315789474,47.74322,39.97754,0.223113,0.221515,11.71973,0.342449,
