Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,45.56324,39.36256,0.241159,0.195934,14.21775,0.419348,
1.99999999999999,45.5302,39.63472,0.23737,0.200041,14.00533,0.392339,
4,45.41652,39.62066,0.228513,0.183126,14.1733,0.377877,
5.99999999999999,45.47159,39.45623,0.239957,0.245518,14.20857,0.37813,
7.99999999999999,45.35036,40.02067,0.242363,0.158903,13.92553,0.302174,
9.99999999999999,45.26979,39.81218,0.259408,0.192574,14.12187,0.344185,
12,45.29734,39.82731,0.247899,0.214574,14.08871,0.324175,
14,45.41492,39.74206,0.241746,0.195333,14.09635,0.309594,
16,45.46375,39.55082,0.236827,0.140916,14.21952,0.388176,
18,45.34545,39.76251,0.233737,0.229361,14.07799,0.350954,
20,45.40284,39.59743,0.235091,0.173753,14.2883,0.302576,
22,45.37012,39.59745,0.275042,0.206095,14.17878,0.372521,
24,45.53319,39.63808,0.231116,0.121058,14.18846,0.288083,
26,45.18086,39.80539,0.228815,0.27787,14.15808,0.348994,
28,45.40056,39.61004,0.207291,0.24336,14.16538,0.373372,
30,45.49947,39.58641,0.252274,0.153169,14.22298,0.285691,
32,45.36316,39.50647,0.209962,0.175334,14.42312,0.321953,
34,45.32961,39.39418,0.246853,0.270568,14.37242,0.386377,
36,45.16236,39.8125,0.26806,0.203445,14.32246,0.231172,
38,45.16643,39.59458,0.277327,0.192234,14.4347,0.334743,
40,45.15303,39.49432,0.273897,0.184307,14.53363,0.360812,
42,44.96425,39.74858,0.294524,0.241379,14.51481,0.236464,
44,45.02421,39.67203,0.22468,0.157872,14.58088,0.340338,
46,45.02352,39.33104,0.305341,0.266557,14.77046,0.303096,
48,44.9297,39.63334,0.313801,0.16281,14.68925,0.271121,
50,44.83733,39.59541,0.312274,0.16998,14.75733,0.327665,
52,44.81031,39.71614,0.302121,0.189386,14.7296,0.252455,
54,43.39603,41.11077,0.741647,0.19283,14.30072,0.257998,
56,24.05087,54.38197,8.568891,0.249366,12.68254,0.066375,
58,9.377825,61.66584,14.05379,0.224475,14.6484,0.029659,
60,9.524823,63.22055,13.57391,0.140967,13.50497,0.034787,
62,10.13312,63.19959,13.01989,0.222848,13.4117,0.012847,
64,10.43966,63.26615,12.95005,0.229184,13.02116,0.093806,
