Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,8.33443,49.04211,10.22274,0.177364,10.92496,0.058635,
1.99999999999999,8.28207,49.224,10.37108,0.195746,10.48282,0.057621,
4,7.859251,49.18801,10.25506,0.227824,10.71964,-0.010897,
6.00000000000001,10.61598,48.57026,9.501191,0.267643,10.70564,0.091128,
8,44.06329,44.43565,1.086397,0.268041,15.23894,0.374807,
10,44.72733,40.15657,0.328562,0.21441,15.58028,0.253384,
12,45.09198,40.31536,0.256511,0.24794,15.9046,0.305708,
14,45.35822,40.27534,0.247588,0.230635,15.67007,0.264048,
16,45.21218,40.20261,0.275893,0.205922,15.54295,0.28958,
18,45.67532,40.40396,0.308438,0.140305,15.2484,0.439248,
20,45.70765,40.15688,0.259411,0.216621,15.42733,0.244288,
22,45.86915,40.26962,0.252418,0.25535,14.7877,0.415777,
24,45.74769,40.44491,0.271992,0.185826,14.78022,0.313921,
26,45.70734,40.17519,0.220009,0.133433,14.71482,0.405316,
28,46.0815,40.28735,0.293614,0.185812,14.35345,0.449379,
30,45.9697,40.10169,0.275388,0.157838,14.31776,0.375233,
32,45.73769,39.81051,0.249675,0.237778,14.16349,0.324882,
34,46.28424,40.24536,0.241636,0.164656,14.22419,0.397569,
36,46.29004,40.14704,0.23443,0.12208,13.8655,0.265478,
38,46.50515,40.35031,0.249558,0.28356,13.93786,0.29317,
40,46.51794,40.19179,0.270777,0.242549,13.75639,0.343228,
42,46.33902,40.20523,0.216953,0.181395,13.67991,0.400159,
44,46.43503,40.05193,0.257224,0.206216,13.48925,0.406158,
46,46.72248,40.35158,0.249376,0.134423,13.68325,0.391754,
48,46.50988,39.9795,0.217224,0.207635,13.45668,0.374676,
50,46.57004,40.28149,0.237465,0.140032,13.36557,0.362059,
52,46.52824,40.14534,0.232425,0.189796,13.41588,0.349509,
54,46.64003,40.16697,0.238173,0.194208,13.40125,0.437477,
56,46.45381,41.06022,0.219512,0.176709,13.14147,0.307971,
58,46.47249,40.07051,0.249198,0.208529,13.29203,0.354544,
60,46.74667,39.96686,0.258739,0.201263,13.24388,0.353279,
62,46.81854,40.15847,0.19478,0.206711,13.23002,0.409431,
64,46.66633,40.0639,0.226479,0.209535,13.29327,0.390718,
66,46.5032,40.26268,0.270101,0.141074,12.97411,0.358856,
68,46.70529,40.18473,0.226971,0.214876,13.13771,0.398582,
70,46.71862,40.19576,0.204803,0.18145,12.98365,0.309967,
72,46.59771,40.02732,0.240235,0.286419,13.03117,0.3704,
74,46.94435,40.13735,0.183524,0.210003,13.07172,0.358728,
76,46.58588,39.9583,0.192984,0.201948,12.79981,0.389021,
78,46.88766,40.25143,0.203074,0.145399,12.95743,0.429894,
80,46.63734,39.92028,0.245362,0.218833,12.83355,0.362734,
82,46.9579,40.12653,0.247773,0.23134,12.97322,0.439911,
