Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,-0.069704,45.06194,0.307511,39.6726,0.00754,0.013295,0,0.004126,0.499984,0.010825,0.199973,13.69326,
0.499999999999999,-0.063778,44.6214,0.413456,39.42507,0.024281,0.061925,0,0.029321,0.529665,0.066253,0.229025,13.76275,
1.00000000000001,-0.044605,44.69133,0.339104,39.47538,-0.019786,-0.012306,0,0.015992,0.493683,0.048538,0.14266,13.77882,
1.5,0.037914,44.35807,0.344267,39.43027,-0.021078,0.012053,0,0.004519,0.535322,-0.006165,0.137754,13.98901,
2,-0.042698,44.26904,0.32144,39.47218,-0.02987,0.084599,0,0.021964,0.509726,0.028362,0.209106,13.99851,
2.5,-0.020232,43.9958,0.38841,39.41927,0.026956,0.076693,0,-0.006239,0.521537,0.080127,0.20905,14.11555,
3,0.048612,43.83984,0.596176,40.0876,-0.040487,0.045214,0,-0.005099,0.58342,0.072097,0.213995,14.07825,
3.5,0.168776,43.15461,1.207815,41.11639,0.041784,0.064775,0,0.061741,0.749633,0.128514,0.238653,13.73709,
4,0.440168,41.48319,2.332341,42.95241,0.029217,0.025075,0,0.119907,1.330072,0.10602,0.210596,13.55143,
4.5,0.990626,33.41321,5.860816,45.76154,0.077102,0.235337,0,0.338835,2.939211,0.562158,0.276842,13.31352,
5,2.13353,15.73413,11.21646,44.65077,0.204634,0.442634,0,0.904841,7.488492,1.494861,0.15878,10.35623,
5.49999999999999,2.444235,10.72183,12.83545,45.32433,0.273323,0.554144,0,1.018334,10.07607,2.04556,0.12299,9.647024,
6,2.556629,8.179847,13.23834,45.45013,0.327838,0.512634,0,1.07523,11.68005,2.338593,0.153903,9.722317,
6.5,2.683135,6.913383,13.16928,45.46605,0.41863,0.603044,0,1.060544,12.58503,2.377904,0.171453,9.751346,
7,2.633491,6.509872,13.34133,45.03753,0.346421,0.561177,0,1.019878,13.01763,2.395259,0.125426,9.848284,
7.5,2.690544,6.639559,13.1693,45.23666,0.286761,0.534219,0,1.017147,13.08768,2.477038,0.165516,9.892608,
8,2.484545,6.803439,12.86897,44.96065,0.384275,0.558251,0,0.963169,13.24607,2.366953,0.175365,9.895838,
8.5,2.423126,6.955083,12.82609,44.80589,0.343613,0.514556,0,0.952379,13.06395,2.325912,0.175711,10.08261,
9.00000000000001,2.516307,7.103343,12.66727,45.11294,0.310796,0.568143,0,0.931745,13.08061,2.346125,0.135742,10.27975,
9.5,2.44311,7.220007,12.75165,45.12785,0.210673,0.597362,0,0.941127,12.96603,2.413341,0.154781,10.19009,
10,2.466144,7.349467,12.87898,45.00042,0.273705,0.606565,0,0.988158,13.02936,2.35342,0.146477,10.18815,
10.5,2.52914,7.494219,12.77426,44.88561,0.319911,0.529685,0,0.909491,12.89665,2.269892,0.050098,10.20464,
11,2.528906,7.522579,12.91339,45.19432,0.383229,0.487477,0,0.96784,12.90439,2.396811,0.167699,10.09173,
11.5,2.631133,7.56364,12.82836,44.92928,0.251832,0.458393,0,0.965853,12.84467,2.239989,0.126908,9.991688,
12,2.600049,7.55846,12.69241,44.67201,0.276814,0.519382,0,0.92449,12.79712,2.19811,0.085517,10.05043,
12.5,2.431325,7.503735,12.82664,44.52872,0.330716,0.509188,0,0.932952,12.62795,2.375826,0.069779,10.12428,
13,2.447912,7.581935,12.69051,44.86919,0.298206,0.538572,0,0.978374,12.63689,2.315866,0.182188,9.922725,
13.5,2.48054,7.69331,12.53119,44.89146,0.304976,0.404348,0,0.950196,12.58455,2.307831,0.170858,10.1515,
14,2.344853,7.623181,12.70048,44.57934,0.320144,0.493165,0,0.957782,12.532,2.320491,0.114649,9.949587,
14.5,2.489738,7.592996,12.50308,44.19611,0.339725,0.546863,0,0.904507,12.45131,2.289493,0.107025,10.20999,
15,2.453256,7.744571,12.66057,44.39366,0.227195,0.531079,0,1.043998,12.46195,2.308762,0.132117,10.22414,
15.5,2.471757,7.800795,12.57786,44.82514,0.28589,0.585399,0,0.92947,12.40686,2.330604,0.124644,9.766499,
16,2.390759,7.648333,12.59561,44.22153,0.377893,0.676656,0,0.942596,12.40886,2.298908,0.21907,9.952842,
16.5,2.501088,7.516199,12.61962,44.12256,0.215566,0.633339,0,1.010746,12.60546,2.240372,0.17852,9.974631,
17,2.42798,7.6179,12.6691,44.58752,0.244613,0.646325,0,1.022216,12.46591,2.305301,0.141659,10.01606,
17.5,2.394855,7.600739,12.74096,44.49249,0.3511,0.543531,0,0.974352,12.43325,2.313703,0.190262,9.940197,
18,2.346459,7.701776,12.77264,44.74405,0.294685,0.500399,0,0.99473,12.42501,2.399218,0.169965,9.995265,
18.5,2.501994,7.636759,12.65746,44.809,0.283541,0.537973,0,0.959525,12.55051,2.192832,0.17814,9.906845,
19,2.452299,7.726616,12.84195,44.7135,0.349435,0.576812,0,0.975092,12.47447,2.31534,0.157017,9.970544,
19.5,2.49969,7.649876,12.72575,44.55066,0.35688,0.624281,0,0.930848,12.62149,2.335773,0.216934,9.948598,
20,2.526149,7.511587,12.47532,44.38265,0.276363,0.588054,0,0.906536,12.50415,2.264088,0.18756,10.13478,
20.5,2.444431,7.529265,12.54351,44.56266,0.293512,0.504185,0,0.956767,12.57906,2.266067,0.13389,10.06113,
21,2.44832,7.705791,12.52926,44.48802,0.331753,0.480092,0,0.995133,12.56952,2.306664,0.174961,9.941522,
21.5,2.401781,7.743297,12.58003,44.5857,0.373254,0.531458,0,0.933131,12.6738,2.321066,0.177268,10.08196,
22,2.536011,7.472514,12.57353,44.44495,0.299056,0.59949,0,0.943854,12.65772,2.35108,0.204359,9.966206,
22.5,2.483273,7.389055,12.56711,44.38379,0.264165,0.549921,0,0.955773,12.79233,2.260705,0.164645,10.24758,
23,2.480662,7.342311,12.52699,44.52721,0.30247,0.503849,0,0.914023,12.79067,2.309386,0.135982,10.00973,
23.5,2.362712,7.265176,12.74921,45.0132,0.32141,0.55095,0,0.971866,12.87607,2.3273,0.147268,10.08963,
24,2.445216,7.236712,12.56296,44.5552,0.345852,0.552339,0,0.985993,12.83651,2.350184,0.201427,10.16434,
24.5,2.516049,7.131976,12.55153,44.54259,0.278604,0.537355,0,0.932143,13.01965,2.325544,0.113958,10.13638,
25,2.41652,6.999041,12.63872,44.50303,0.298375,0.580816,0,0.923716,12.89816,2.466772,0.125913,10.15008,
25.5,2.50959,6.772858,12.66643,44.34557,0.27043,0.539229,0,0.977973,12.97411,2.324502,0.213067,10.05528,
26,2.46833,6.610503,12.7376,44.196,0.344398,0.517824,0,0.966684,12.97491,2.342976,0.100488,10.26006,
26.5,2.641299,6.360416,12.85547,44.35509,0.347521,0.55005,0,0.964208,12.94883,2.44711,0.209837,10.14357,
27,2.481885,6.315588,12.55617,43.56025,0.342775,0.575777,0,1.04935,12.83335,2.5159,0.200508,9.785619,
27.5,2.718228,6.729366,12.43615,42.87872,0.235825,0.536039,0,1.019497,12.77971,2.491244,0.13335,9.76252,
