Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,-0.019041,46.10265,0.384294,39.791,0.021372,0.026924,0,-0.053942,0.383467,-0.002511,0.123248,11.72721,
0.499999999999998,-0.08776,45.62955,0.446741,39.61765,-0.027057,0.055692,0,0.010361,0.372557,-0.010016,0.136736,11.45648,
1,-0.055611,45.9098,0.466393,39.73716,-0.057842,-0.040032,0,0.008088,0.489181,0.04647,0.215863,11.59739,
1.5,-0.03497,45.85227,0.561606,40.06075,0.051915,0.091192,0,0.048411,0.635493,0.067853,0.199185,11.67155,
2,0.026508,45.3685,0.920903,40.34384,0.003591,0.008858,0,0.054313,0.945239,0.172838,0.111127,11.3263,
2.5,0.107516,43.69034,1.831909,41.69191,0.035161,0.008576,0,0.063239,1.706616,0.32566,0.264996,10.85804,
3,0.300412,41.11303,3.317224,42.91516,0.106617,-0.006336,0,0.143157,3.109594,0.644232,0.188404,10.12634,
3.5,0.669762,35.63007,5.812013,45.03126,0.237915,-0.015564,0,0.186587,5.154662,1.207351,0.181436,9.463625,
4,1.383695,25.80091,9.419667,46.87841,0.325389,0.064725,0,0.350839,8.026464,1.973888,0.131222,8.961276,
4.5,1.879783,12.50701,12.05913,48.38248,0.294744,0.080371,0,0.393431,10.703,2.515934,0.145794,9.11028,
5,1.839619,10.81205,12.25842,47.84304,0.350673,-0.024007,0,0.42386,11.16018,2.514905,0.132067,9.122039,
5.5,1.947507,9.965799,12.23425,48.05585,0.37541,0.068786,0,0.36732,11.34831,2.587382,0.160139,9.30586,
6,1.945745,9.589979,12.2499,48.08495,0.348142,0.081163,0,0.376315,11.36178,2.723814,0.176366,9.341256,
6.5,1.861226,9.424154,12.26597,48.01177,0.350326,0.038575,0,0.408136,11.38331,2.599325,0.161075,9.127601,
7,1.87966,9.640991,12.34635,48.1015,0.492356,0.007851,0,0.367045,11.24524,2.585393,0.116502,9.482103,
7.5,1.925899,9.71683,12.39253,47.87868,0.386342,0.058173,0,0.387902,11.25124,2.478168,0.122559,9.159039,
8,1.849169,9.890292,12.14726,48.10949,0.42084,0.066526,0,0.410405,11.27014,2.466192,0.197631,9.150009,
8.5,1.880422,9.932699,12.14857,48.1358,0.398917,0.076699,0,0.367359,11.23193,2.562206,0.180221,9.133007,
9,1.921429,10.08367,12.13776,48.10445,0.316356,0.020553,0,0.371842,11.07088,2.521597,0.185377,9.387604,
9.5,1.957805,10.19206,12.22916,48.08703,0.264308,0.151139,0,0.375176,11.21094,2.647374,0.137026,9.300659,
10,1.864188,10.13722,12.23224,48.02754,0.421351,0.041598,0,0.345514,11.20496,2.483905,0.119725,9.166491,
10.5,1.848684,10.23753,12.33457,48.32461,0.366086,0.011523,0,0.351286,11.04303,2.499453,0.192445,9.288568,
11,1.893417,10.12162,12.23959,48.26532,0.254287,-0.049691,0,0.401086,11.12807,2.376444,0.195838,9.145093,
11.5,1.929396,10.2479,12.1927,48.01579,0.38561,0.078722,0,0.313473,11.12829,2.540332,0.137936,9.087994,
12,1.923148,10.20061,12.16482,48.01717,0.38873,-0.018134,0,0.351066,11.13026,2.514923,0.158125,9.177967,
12.5,1.84677,10.29862,12.26704,48.09551,0.424991,0.054305,0,0.422933,11.02357,2.5432,0.150493,9.058411,
13,1.903429,10.38983,12.30737,48.23578,0.375371,0.044499,0,0.393886,11.14958,2.453095,0.150678,8.789863,
13.5,1.877304,10.35628,12.16109,48.21083,0.416836,-0.016309,0,0.394666,11.17064,2.536385,0.117229,9.096619,
14,1.925341,10.20665,12.46041,48.1504,0.475326,-0.018552,0,0.404426,11.15231,2.475319,0.091943,9.069171,
14.5,1.932088,10.27156,12.30418,48.37157,0.435631,-0.030712,0,0.401148,11.06568,2.392124,0.132394,9.181255,
15,1.89799,10.24582,12.24329,48.29867,0.392902,-0.033165,0,0.398056,11.17599,2.476388,0.164872,8.903132,
15.5,1.90785,10.3543,12.32677,48.19607,0.34786,-0.019009,0,0.381438,11.0003,2.532531,0.150822,9.258696,
16,1.898089,10.35351,12.27975,48.02052,0.399425,-0.004086,0,0.346542,11.10754,2.494588,0.100034,9.08392,
16.5,1.896371,10.26597,12.16434,47.83046,0.437405,0.0194,0,0.388994,11.17733,2.427958,0.20717,8.940239,
17,1.918659,10.30718,12.33873,48.36914,0.393709,0.135635,0,0.407787,10.97622,2.401321,0.116893,9.003855,
17.5,1.914916,10.27415,12.18838,48.17027,0.401126,0.040796,0,0.355641,11.07085,2.578402,0.107219,8.826226,
18,1.964335,10.30261,12.39304,48.27661,0.327536,0.014906,0,0.398873,10.91627,2.555255,0.149532,9.053401,
18.5,2.001907,10.24001,12.55256,48.31181,0.399682,-0.026424,0,0.396168,10.9882,2.512182,0.1328,9.050955,
19,2.061136,10.36653,12.54107,48.54998,0.402261,0.049203,0,0.350501,11.0544,2.427809,0.132459,8.832138,
19.5,1.941263,10.2956,12.41129,48.39702,0.424958,0.009951,0,0.378416,11.09779,2.478992,0.189071,8.670201,
20,1.950393,10.20564,12.45041,48.12479,0.41208,-0.001818,0,0.413358,11.10667,2.601773,0.076642,8.902314,
20.5,1.976155,10.27329,12.28029,48.06868,0.406873,0.050203,0,0.403467,11.00532,2.521925,0.137842,8.835674,
21,1.9051,10.1937,12.26415,47.6524,0.396113,0.014437,0,0.406261,11.12441,2.360476,0.114506,8.8989,
21.5,1.923872,10.13438,12.41048,47.85073,0.4311,-0.01827,0,0.397338,11.01624,2.502209,0.105677,8.767971,
22,1.887086,10.34158,12.69195,48.56792,0.42583,0.022426,0,0.387085,10.95327,2.478404,0.13459,8.821574,
22.5,2.026574,10.42351,12.35359,48.62151,0.375472,0.137431,0,0.39823,10.89199,2.416917,0.135236,8.968125,
23,2.038555,10.32533,12.64923,48.46466,0.473366,-0.019001,0,0.402383,11.13274,2.506947,0.140555,8.845236,
23.5,1.879602,10.20404,12.42463,48.83131,0.44424,0.000321,0,0.388768,10.94222,2.50657,0.134329,8.911482,
24,1.971329,10.43258,12.4309,48.57415,0.35515,0.082345,0,0.370551,11.15128,2.399884,0.12519,8.837765,
24.5,1.940766,10.33065,12.3556,48.79078,0.367662,0.00096,0,0.37063,10.99129,2.530824,0.143149,8.743227,
25,1.985487,10.35548,12.47717,48.57086,0.38403,0.016862,0,0.412611,11.12185,2.548291,0.113562,8.784428,
25.5,1.955045,10.33565,12.62228,48.73252,0.453427,-0.031237,0,0.423331,10.97949,2.609137,0.105865,8.817449,
26,1.884581,10.34844,12.65337,48.7221,0.448012,0.001496,0,0.430929,10.99883,2.447299,0.209451,8.922071,
26.5,2.009024,10.3208,12.73947,48.86021,0.398949,0.023064,0,0.40225,10.92194,2.516658,0.173676,8.816245,
27,2.063643,10.41127,12.62879,48.49583,0.368183,0.042101,0,0.359506,11.01527,2.451748,0.156646,8.800808,
27.5,2.006466,10.41515,12.48182,48.54121,0.445743,0.036056,0,0.421495,11.0312,2.622074,0.108855,8.833515,
28,1.976355,10.42906,12.41308,48.53799,0.394016,-0.004525,0,0.351259,11.00874,2.508982,0.168443,8.617522,
28.5,1.982096,10.39346,12.61358,48.41906,0.497176,0.046771,0,0.399734,11.03796,2.566406,0.159197,8.888856,
29,1.969956,10.35583,12.51145,48.1511,0.45314,0.005762,0,0.41472,11.03441,2.535926,0.169143,8.748853,
29.5,2.01936,10.21367,12.21341,47.6971,0.413631,-0.048324,0,0.377457,10.92614,2.501703,0.164415,8.808812,
30,1.991311,10.26787,12.46952,48.34837,0.471726,0.126471,0,0.420704,11.06597,2.434537,0.149368,8.690807,
